,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
27,1B,2B,Stolen Base 2B,543305,Aaron Hicks,570632,José Ureña,572228,Luke Voit,R,Chad Wallach,595453,0,0,1,False,2020-09-27,Stolen,2B
130,1B,2B,Stolen Base 2B,543305,Aaron Hicks,641672,Thomas Hatch,572228,Luke Voit,R,Alejandro Kirk,672386,1,6,5,True,2020-09-22,Stolen,2B
408,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592836,Taijuan Walker,640449,Clint Frazier,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Stolen,2B
409,2B,,Caught Stealing 3B,543305,Aaron Hicks,592836,Taijuan Walker,650402,Gleyber Torres,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Caught,3B
509,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-09-03,Stolen,2B
704,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-08-23,Stolen,2B
2558,1B,,Caught Stealing 2B,543305,Aaron Hicks,543208,Sam Gaviglio,596142,Gary Sánchez,R,Danny Jansen,643376,4,0,7,False,2019-07-12,Caught,2B
3010,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-11,Stolen,3B
3011,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-10,Stolen,3B
3149,3B,,Caught Stealing Home,543305,Aaron Hicks,456034,David Price,640449,Clint Frazier,L,Christian Vázquez,543877,2,3,4,False,2019-06-02,Caught,Home
2870,1B,2B,Stolen Base 2B,543305,Aaron Hicks,570632,José Ureña,572228,Luke Voit,R,Chad Wallach,595453,0,0,1,False,2020-09-27,Stolen,2B
2973,1B,2B,Stolen Base 2B,543305,Aaron Hicks,641672,Thomas Hatch,572228,Luke Voit,R,Alejandro Kirk,672386,1,6,5,True,2020-09-22,Stolen,2B
3251,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592836,Taijuan Walker,640449,Clint Frazier,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Stolen,2B
3252,2B,,Caught Stealing 3B,543305,Aaron Hicks,592836,Taijuan Walker,650402,Gleyber Torres,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Caught,3B
3352,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-09-03,Stolen,2B
3547,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-08-23,Stolen,2B
5401,1B,,Caught Stealing 2B,543305,Aaron Hicks,543208,Sam Gaviglio,596142,Gary Sánchez,R,Danny Jansen,643376,4,0,7,False,2019-07-12,Caught,2B
5853,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-11,Stolen,3B
5854,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-10,Stolen,3B
5992,3B,,Caught Stealing Home,543305,Aaron Hicks,456034,David Price,640449,Clint Frazier,L,Christian Vázquez,543877,2,3,4,False,2019-06-02,Caught,Home
158,1B,2B,Stolen Base 2B,543305,Aaron Hicks,680704,Nick Sandlin,656775,Cedric Mullins,R,David Fry,681807,1,5,7,True,2023-09-24,Stolen,2B
209,1B,2B,Stolen Base 2B,543305,Aaron Hicks,675916,James Karinchak,676059,Jordan Westburg,R,David Fry,681807,6,5,6,True,2023-09-22,Stolen,2B
369,1B,2B,Stolen Base 2B,543305,Aaron Hicks,607192,Tyler Glasnow,602104,Ramón Urías,R,René Pinto,650907,4,0,4,False,2023-09-16,Stolen,2B
2264,1B,2B,Stolen Base 2B,543305,Aaron Hicks,669302,Logan Gilbert,624428,Adam Frazier,R,Tom Murphy,608596,0,1,2,False,2023-06-23,Stolen,2B
2377,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592791,Jameson Taillon,602104,Ramón Urías,R,Miguel Amaya,665804,1,0,2,True,2023-06-18,Stolen,2B
2620,1B,2B,Stolen Base 2B,543305,Aaron Hicks,547973,Aroldis Chapman,543510,James McCann,L,Salvador Perez,521692,3,2,8,False,2023-06-09,Stolen,2B
147,1B,2B,Stolen Base 2B,543305,Aaron Hicks,593140,Michael Feliz,624431,Jose Trevino,R,Christian Vázquez,543877,2,9,4,True,2022-07-08,Stolen,2B
148,2B,3B,Stolen Base 2B,543305,Aaron Hicks,593140,Michael Feliz,624431,Jose Trevino,R,Christian Vázquez,543877,2,9,4,True,2022-07-08,Stolen,2B
149,2B,3B,Stolen Base 3B,543305,Aaron Hicks,656354,Austin Davis,503556,Marwin Gonzalez,L,Christian Vázquez,543877,5,10,7,True,2022-07-08,Stolen,3B
506,1B,,Caught Stealing 2B,543305,Aaron Hicks,579328,Yusei Kikuchi,503556,Marwin Gonzalez,L,Alejandro Kirk,672386,2,1,2,True,2022-06-19,Caught,2B
508,1B,2B,Stolen Base 2B,543305,Aaron Hicks,605447,Jordan Romano,519203,Anthony Rizzo,R,Alejandro Kirk,672386,10,9,9,True,2022-06-19,Stolen,2B
593,1B,2B,Stolen Base 2B,543305,Aaron Hicks,676534,Calvin Faucher,572761,Matt Carpenter,R,Francisco Mejía,642336,2,0,8,False,2022-06-14,Stolen,2B
