,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
87,2B,3B,Stolen Base 3B,641658,Garrett Hampson,592332,Kevin Gausman,607680,Kevin Pillar,R,Tyler Heineman,623168,3,2,4,True,2020-09-24,Stolen,3B
89,1B,2B,Stolen Base 2B,641658,Garrett Hampson,592332,Kevin Gausman,656541,Sam Hilliard,R,Tyler Heineman,623168,3,2,6,True,2020-09-24,Stolen,2B
435,1B,2B,Stolen Base 2B,641658,Garrett Hampson,628711,Julio Urías,553869,Elias Díaz,L,Will Smith,669257,2,2,5,True,2020-09-06,Stolen,2B
821,1B,2B,Stolen Base 2B,641658,Garrett Hampson,656232,Brandon Bielak,453568,Charlie Blackmon,R,Dustin Garneau,572863,0,0,1,True,2020-08-17,Stolen,2B
941,2B,3B,Stolen Base 3B,641658,Garrett Hampson,592662,Robbie Ray,453568,Charlie Blackmon,L,Stephen Vogt,519390,4,8,4,False,2020-08-10,Stolen,3B
952,1B,2B,Stolen Base 2B,641658,Garrett Hampson,656186,Dan Altavilla,596115,Trevor Story,R,Joe Hudson,621529,5,1,8,True,2020-08-09,Stolen,2B
1355,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,571448,Nolan Arenado,R,Stephen Vogt,519390,0,0,1,True,2019-09-25,Stolen,2B
1357,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,606132,Raimel Tapia,R,Stephen Vogt,519390,1,0,5,True,2019-09-25,Stolen,2B
1399,1B,2B,Stolen Base 2B,641658,Garrett Hampson,621111,Walker Buehler,606132,Raimel Tapia,R,Russell Martin,431145,0,2,3,True,2019-09-21,Stolen,2B
1420,1B,2B,Stolen Base 2B,641658,Garrett Hampson,477132,Clayton Kershaw,642162,Pat Valaika,L,Will Smith,669257,0,2,2,True,2019-09-20,Stolen,2B
1464,1B,2B,Stolen Base 2B,641658,Garrett Hampson,592789,Noah Syndergaard,624513,Dom Nuñez,R,Tomás Nido,621512,3,2,6,False,2019-09-18,Stolen,2B
1465,2B,3B,Stolen Base 3B,641658,Garrett Hampson,592789,Noah Syndergaard,624513,Dom Nuñez,R,Tomás Nido,621512,3,2,6,False,2019-09-18,Stolen,3B
1506,1B,2B,Stolen Base 2B,641658,Garrett Hampson,615698,Cal Quantrill,658069,Joshua Fuentes,R,Austin Allen,664119,4,1,3,False,2019-09-15,Stolen,2B
1699,1B,2B,Stolen Base 2B,641658,Garrett Hampson,548389,Ross Stripling,460077,Drew Butera,R,Will Smith,669257,7,3,6,True,2019-09-04,Stolen,2B
1748,1B,2B,Stolen Base 2B,641658,Garrett Hampson,643230,Steven Brault,547172,Tony Wolters,L,Elias Díaz,553869,0,2,5,False,2019-09-01,Stolen,2B
1805,1B,2B,Stolen Base 2B,641658,Garrett Hampson,598264,Matt Barnes,656541,Sam Hilliard,R,Christian Vázquez,543877,4,6,8,False,2019-08-28,Stolen,2B
2313,1B,,Caught Stealing 2B,641658,Garrett Hampson,596112,Robert Stephenson,547172,Tony Wolters,R,Tucker Barnhart,571466,2,6,8,True,2019-07-26,Caught,2B
2524,1B,2B,Stolen Base 2B,641658,Garrett Hampson,456696,David Hernandez,453568,Charlie Blackmon,R,Curt Casali,592200,8,10,6,False,2019-07-13,Stolen,2B
2582,1B,2B,Stolen Base 2B,641658,Garrett Hampson,592662,Robbie Ray,547172,Tony Wolters,L,Carson Kelly,608348,0,1,2,True,2019-07-06,Stolen,2B
2735,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,453568,Charlie Blackmon,R,Stephen Vogt,519390,2,0,3,True,2019-06-26,Stolen,2B
2770,1B,2B,Stolen Base 2B,641658,Garrett Hampson,445276,Kenley Jansen,621311,David Dahl,R,Austin Barnes,605131,3,3,9,True,2019-06-23,Stolen,2B
3533,1B,,Caught Stealing 2B,641658,Garrett Hampson,605538,Matt Wisler,547172,Tony Wolters,R,Austin Hedges,595978,9,2,5,False,2019-05-10,Caught,2B
3924,2B,3B,Stolen Base 3B,641658,Garrett Hampson,622259,Trey Wingenter,596115,Trevor Story,R,Francisco Mejía,642336,1,6,9,True,2019-04-16,Stolen,3B
3939,1B,,Caught Stealing 2B,641658,Garrett Hampson,664192,Joey Lucchesi,596115,Trevor Story,L,Austin Hedges,595978,0,0,1,True,2019-04-15,Caught,2B
277,1B,2B,Stolen Base 2B,641658,Garrett Hampson,657053,Touki Toussaint,592351,Jon Gray,R,Travis d'Arnaud,518595,1,2,4,True,2021-09-14,Stolen,2B
360,1B,,Caught Stealing 2B,641658,Garrett Hampson,543101,Anthony DeSclafani,606132,Raimel Tapia,R,Curt Casali,592200,0,0,3,False,2021-09-08,Caught,2B
576,1B,,Caught Stealing 2B,641658,Garrett Hampson,657006,Justin Steele,656541,Sam Hilliard,L,Robinson Chirinos,455139,0,2,2,True,2021-08-25,Caught,2B
579,1B,2B,Stolen Base 2B,641658,Garrett Hampson,571521,Rex Brothers,656541,Sam Hilliard,L,Robinson Chirinos,455139,5,6,6,True,2021-08-25,Stolen,2B
