,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
921,2B,,Caught Stealing 3B,596117,Garrett Stubbs,641312,Shaun Anderson,514888,Jose Altuve,R,Tyler Heineman,623168,6,5,8,False,2020-08-11,Caught,3B
3102,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,502190,Mike Leake,545350,Jake Marisnick,R,Tom Murphy,608596,0,1,4,True,2019-06-05,Stolen,2B
3764,2B,,Caught Stealing 3B,596117,Garrett Stubbs,641312,Shaun Anderson,514888,Jose Altuve,R,Tyler Heineman,623168,6,5,8,False,2020-08-11,Caught,3B
5945,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,502190,Mike Leake,545350,Jake Marisnick,R,Tom Murphy,608596,0,1,4,True,2019-06-05,Stolen,2B
1303,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,678606,Jose A. Ferrer,656941,Kyle Schwarber,L,Riley Adams,656180,4,2,6,False,2023-08-08,Stolen,2B
1309,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,678606,Jose A. Ferrer,656941,Kyle Schwarber,L,Riley Adams,656180,4,2,6,False,2023-08-07,Stolen,2B
76,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,621244,José Berríos,656555,Rhys Hoskins,R,Danny Jansen,643376,3,2,5,True,2022-07-12,Stolen,2B
1139,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,675627,Michael Grove,656555,Rhys Hoskins,R,Will Smith,669257,1,4,4,True,2022-05-15,Stolen,2B
1864,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,476595,Lucas Luetge,591720,Ronald Torreyes,L,Jose Trevino,624431,0,2,4,True,2022-04-04,Stolen,2B
5688,2B,,Caught Stealing 3B,596117,Garrett Stubbs,641312,Shaun Anderson,514888,Jose Altuve,R,Tyler Heineman,623168,6,5,8,False,2020-08-11,Caught,3B
7869,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,502190,Mike Leake,545350,Jake Marisnick,R,Tom Murphy,608596,0,1,4,True,2019-06-05,Stolen,2B
2594,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,680570,Grayson Rodriguez,679032,Johan Rojas,R,Adley Rutschman,668939,3,2,7,True,2024-06-15,Stolen,2B
2690,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,502624,Chase Anderson,679032,Johan Rojas,R,Connor Wong,657136,1,4,9,True,2024-06-11,Stolen,2B
3063,2B,3B,Stolen Base 3B,596117,Garrett Stubbs,641712,Dakota Hudson,656941,Kyle Schwarber,R,Jacob Stallings,607732,3,2,5,True,2024-05-25,Stolen,3B
3364,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,640455,Sean Manaea,593160,Whit Merrifield,L,Tomás Nido,621512,0,1,2,True,2024-05-13,Stolen,2B
4254,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,606149,Giovanny Gallegos,679032,Johan Rojas,R,Iván Herrera,671056,1,3,9,True,2024-04-08,Stolen,2B
5717,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,678606,Jose A. Ferrer,656941,Kyle Schwarber,L,Riley Adams,656180,4,2,6,False,2023-08-08,Stolen,2B
5723,1B,2B,Stolen Base 2B,596117,Garrett Stubbs,678606,Jose A. Ferrer,656941,Kyle Schwarber,L,Riley Adams,656180,4,2,6,False,2023-08-07,Stolen,2B
