,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,164,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
1,1,1,1,1,1,274,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
2,2,2,2,2,2,694,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
3,3,3,3,3,3,1218,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
4,4,4,4,4,4,3007,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
5,5,5,5,5,5,3117,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
6,6,6,6,6,6,3537,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
7,7,7,7,7,7,4061,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
8,8,8,8,8,8,4931,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
9,9,9,9,9,9,5041,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
10,10,10,10,10,10,5461,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
11,11,11,11,11,11,5985,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5,2021,29.5
12,12,12,12,12,12,1477,1B,2B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
13,13,13,13,13,13,1478,2B,3B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
14,14,14,14,14,14,1521,2B,3B,Stolen Base 3B,664056,Harrison Bader,543475,Jordan Lyles,451594,Dexter Fowler,R,Yasmani Grandal,518735,2,0,2,False,2019-09-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
15,15,15,15,15,15,1545,1B,2B,Stolen Base 2B,664056,Harrison Bader,607188,Jake Faria,451594,Dexter Fowler,R,Jacob Nottingham,641924,5,0,6,False,2019-09-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
16,16,16,16,16,16,1656,1B,2B,Stolen Base 2B,664056,Harrison Bader,605280,Clay Holmes,425794,Adam Wainwright,R,Elias Díaz,553869,1,6,6,True,2019-09-07,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
17,17,17,17,17,17,1857,1B,2B,Stolen Base 2B,664056,Harrison Bader,451584,Wade Davis,664854,Ryan Helsley,R,Tony Wolters,547172,7,3,5,False,2019-08-25,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
18,18,18,18,18,18,2385,1B,2B,Stolen Base 2B,664056,Harrison Bader,543101,Anthony DeSclafani,656427,Jack Flaherty,R,Ryan Lavarnway,543432,0,2,2,True,2019-07-21,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
19,19,19,19,19,19,2472,2B,3B,Stolen Base 3B,664056,Harrison Bader,642607,Dario Agrazal,656427,Jack Flaherty,R,Elias Díaz,553869,1,1,5,False,2019-07-16,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
20,20,20,20,20,20,2701,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
21,21,21,21,21,21,2960,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
22,22,22,22,22,22,2961,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-14,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
23,23,23,23,23,23,2971,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-13,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
24,24,24,24,24,24,2972,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
25,25,25,25,25,25,3269,2B,3B,Stolen Base 3B,664056,Harrison Bader,527054,Julio Teheran,656427,Jack Flaherty,R,Brian McCann,435263,2,0,4,False,2019-05-26,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
26,26,26,26,26,26,3711,1B,,Caught Stealing 2B,664056,Harrison Bader,502522,Justin Miller,451594,Dexter Fowler,R,Yan Gomes,543228,3,6,6,True,2019-04-29,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
27,27,27,27,27,27,4095,2B,,Caught Stealing 3B,664056,Harrison Bader,621381,Matt Strahm,425794,Adam Wainwright,L,Austin Hedges,595978,0,1,3,False,2019-04-07,Caught,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
28,28,28,28,28,28,4320,1B,2B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
29,29,29,29,29,29,4321,2B,3B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
30,30,30,30,30,30,4364,2B,3B,Stolen Base 3B,664056,Harrison Bader,543475,Jordan Lyles,451594,Dexter Fowler,R,Yasmani Grandal,518735,2,0,2,False,2019-09-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
