,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
2782,1B,2B,Stolen Base 2B,435062,Howie Kendrick,621345,A.J. Minter,467827,Gerardo Parra,L,Brian McCann,435263,2,2,9,False,2019-06-23,Stolen,2B
3449,1B,,Caught Stealing 2B,435062,Howie Kendrick,521655,Wilmer Font,543228,Yan Gomes,R,Wilson Ramos,467092,3,0,1,False,2019-05-15,Caught,2B
3656,1B,2B,Stolen Base 2B,435062,Howie Kendrick,595191,Jerad Eickhoff,571431,Matt Adams,R,J.T. Realmuto,592663,1,1,3,True,2019-05-03,Stolen,2B
5625,1B,2B,Stolen Base 2B,435062,Howie Kendrick,621345,A.J. Minter,467827,Gerardo Parra,L,Brian McCann,435263,2,2,9,False,2019-06-23,Stolen,2B
6292,1B,,Caught Stealing 2B,435062,Howie Kendrick,521655,Wilmer Font,543228,Yan Gomes,R,Wilson Ramos,467092,3,0,1,False,2019-05-15,Caught,2B
6499,1B,2B,Stolen Base 2B,435062,Howie Kendrick,595191,Jerad Eickhoff,571431,Matt Adams,R,J.T. Realmuto,592663,1,1,3,True,2019-05-03,Stolen,2B
7549,1B,2B,Stolen Base 2B,435062,Howie Kendrick,621345,A.J. Minter,467827,Gerardo Parra,L,Brian McCann,435263,2,2,9,False,2019-06-23,Stolen,2B
8216,1B,,Caught Stealing 2B,435062,Howie Kendrick,521655,Wilmer Font,543228,Yan Gomes,R,Wilson Ramos,467092,3,0,1,False,2019-05-15,Caught,2B
8423,1B,2B,Stolen Base 2B,435062,Howie Kendrick,595191,Jerad Eickhoff,571431,Matt Adams,R,J.T. Realmuto,592663,1,1,3,True,2019-05-03,Stolen,2B
64,1B,2B,Stolen Base 2B,435062,Howie Kendrick,607192,Tyler Glasnow,572191,Michael A. Taylor,R,Elias Díaz,553869,6,0,6,False,2018-05-01,Stolen,2B
989,1B,,Caught Stealing 2B,435062,Howie Kendrick,527054,Julio Teheran,475582,Ryan Zimmerman,R,Kurt Suzuki,435559,0,1,1,False,2017-09-12,Caught,2B
1147,1B,2B,Stolen Base 2B,435062,Howie Kendrick,605540,Brandon Woodruff,502517,Daniel Murphy,R,Stephen Vogt,519390,0,0,4,True,2017-09-02,Stolen,2B
1175,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519076,Jimmy Nelson,572191,Michael A. Taylor,R,Stephen Vogt,519390,1,0,2,True,2017-09-01,Stolen,2B
1445,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571473,Buddy Baumann,502517,Daniel Murphy,L,Austin Hedges,595978,1,5,7,True,2017-08-18,Stolen,2B
1729,1B,2B,Stolen Base 2B,435062,Howie Kendrick,543294,Kyle Hendricks,547180,Bryce Harper,R,Willson Contreras,575929,0,2,3,True,2017-08-04,Stolen,2B
1786,1B,,Caught Stealing 2B,435062,Howie Kendrick,623395,Brian Ellington,475582,Ryan Zimmerman,R,J.T. Realmuto,592663,1,6,4,True,2017-08-01,Caught,2B
2473,1B,2B,Stolen Base 2B,435062,Howie Kendrick,544928,Tyler Lyons,571437,Aaron Altherr,L,Yadier Molina,425877,5,3,6,False,2017-06-21,Stolen,2B
2638,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519144,Rick Porcello,571830,Tommy Joseph,R,Sandy León,506702,0,2,1,True,2017-06-12,Stolen,2B
2640,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519144,Rick Porcello,433217,Andrés Blanco,R,Sandy León,506702,4,5,5,True,2017-06-12,Stolen,2B
2641,2B,3B,Stolen Base 3B,435062,Howie Kendrick,519144,Rick Porcello,596748,Maikel Franco,R,Sandy León,506702,4,5,5,True,2017-06-12,Stolen,3B
2643,1B,,Caught Stealing 2B,435062,Howie Kendrick,518886,Craig Kimbrel,571830,Tommy Joseph,R,Sandy León,506702,5,5,9,True,2017-06-12,Caught,2B
2698,1B,2B,Stolen Base 2B,435062,Howie Kendrick,608379,Michael Wacha,571830,Tommy Joseph,R,Eric Fryer,518700,2,2,5,True,2017-06-09,Stolen,2B
2778,1B,2B,Stolen Base 2B,435062,Howie Kendrick,435400,Jason Motte,571830,Tommy Joseph,R,Kurt Suzuki,435559,1,3,8,True,2017-06-06,Stolen,2B
2808,2B,,Caught Stealing 3B,435062,Howie Kendrick,519043,Matt Moore,571830,Tommy Joseph,L,Buster Posey,457763,2,1,1,False,2017-06-04,Caught,3B
2914,1B,2B,Stolen Base 2B,435062,Howie Kendrick,450172,Edinson Volquez,571830,Tommy Joseph,R,J.T. Realmuto,592663,0,0,1,True,2017-05-29,Stolen,2B
3907,1B,2B,Stolen Base 2B,435062,Howie Kendrick,425386,Jeremy Guthrie,546318,Odúbel Herrera,R,Matt Wieters,446308,0,0,1,False,2017-04-08,Stolen,2B
3998,1B,,Caught Stealing 2B,435062,Howie Kendrick,444857,Scott Feldman,596748,Maikel Franco,R,Tucker Barnhart,571466,0,3,3,True,2017-04-03,Caught,2B
4426,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
4427,2B,3B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
4684,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592351,Jon Gray,608369,Corey Seager,R,Nick Hundley,460026,0,0,3,True,2016-08-29,Stolen,2B
4974,2B,3B,Stolen Base 3B,435062,Howie Kendrick,453172,Jared Hughes,574847,Rob Segedin,R,Francisco Cervelli,465041,8,3,6,False,2016-08-13,Stolen,3B
5416,1B,,Caught Stealing 2B,435062,Howie Kendrick,502190,Mike Leake,518735,Yasmani Grandal,R,Alberto Rosario,451705,0,0,2,True,2016-07-23,Caught,2B
5696,1B,,Caught Stealing 2B,435062,Howie Kendrick,501957,Chris Tillman,621035,Chris Taylor,R,Matt Wieters,446308,1,1,4,False,2016-07-05,Caught,2B
5856,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453172,Jared Hughes,475100,Scott Van Slyke,R,Erik Kratz,456124,4,4,5,True,2016-06-27,Stolen,2B
6033,1B,2B,Stolen Base 2B,435062,Howie Kendrick,448855,Junior Guerra,592626,Joc Pederson,R,Jonathan Lucroy,518960,0,0,2,False,2016-06-16,Stolen,2B
6258,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502032,Bud Norris,477132,Clayton Kershaw,R,Tyler Flowers,452095,1,0,4,False,2016-06-04,Stolen,2B
6340,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453562,Jake Arrieta,518735,Yasmani Grandal,R,Miguel Montero,471083,0,0,7,True,2016-05-31,Stolen,2B
6401,1B,2B,Stolen Base 2B,435062,Howie Kendrick,455374,Antonio Bastardo,518735,Yasmani Grandal,L,René Rivera,425784,0,2,7,True,2016-05-28,Stolen,2B
6479,1B,2B,Stolen Base 2B,435062,Howie Kendrick,605232,Brandon Finnegan,572204,Trayce Thompson,L,Tucker Barnhart,571466,0,0,4,False,2016-05-23,Stolen,2B
6760,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571927,Steven Matz,408236,Adrián González,L,Kevin Plawecki,608700,0,1,1,False,2016-05-09,Stolen,2B
306,1B,2B,Stolen Base 2B,435062,Howie Kendrick,518774,Matt Harvey,624577,Yasiel Puig,R,Kevin Plawecki,608700,1,0,3,False,2015-07-04,Stolen,2B
319,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592789,Noah Syndergaard,457759,Justin Turner,R,Kevin Plawecki,608700,1,1,6,False,2015-07-03,Stolen,2B
1695,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453311,Tim Lincecum,518735,Yasmani Grandal,R,Andrew Susac,572180,2,0,3,False,2015-04-27,Stolen,2B
2117,1B,,Caught Stealing 2B,435062,Howie Kendrick,488768,Andrew Cashner,518735,Yasmani Grandal,R,Derek Norris,519083,5,2,3,False,2015-04-08,Caught,2B
2136,1B,2B,Stolen Base 2B,435062,Howie Kendrick,475115,Tyson Ross,518735,Yasmani Grandal,R,Derek Norris,519083,0,1,4,False,2015-04-07,Stolen,2B
2138,2B,,Caught Stealing 3B,435062,Howie Kendrick,475115,Tyson Ross,408307,Carl Crawford,R,Derek Norris,519083,2,1,6,False,2015-04-07,Caught,3B
2613,1B,2B,Stolen Base 2B,435062,Howie Kendrick,501529,Jorge De Leon,501896,David Freese,R,Max Stassi,545358,9,3,5,False,2014-09-12,Stolen,2B
3111,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453329,Clay Buchholz,501896,David Freese,R,David Ross,424325,3,6,5,True,2014-08-20,Stolen,2B
3551,1B,,Caught Stealing 2B,435062,Howie Kendrick,488984,Tommy Hunter,501896,David Freese,R,Nick Hundley,460026,6,6,8,True,2014-07-29,Caught,2B
3714,1B,2B,Stolen Base 2B,435062,Howie Kendrick,433587,Félix Hernández,501896,David Freese,R,Jesús Sucre,491696,0,0,2,False,2014-07-19,Stolen,2B
3772,1B,2B,Stolen Base 2B,435062,Howie Kendrick,425840,Neal Cotts,519068,Efren Navarro,L,Robinson Chirinos,455139,7,9,9,True,2014-07-13,Stolen,2B
4098,1B,2B,Stolen Base 2B,435062,Howie Kendrick,136600,Bruce Chen,543068,C.J. Cron,L,Salvador Perez,521692,0,2,6,True,2014-06-28,Stolen,2B
4351,1B,,Caught Stealing 2B,435062,Howie Kendrick,458708,Josh Tomlin,501896,David Freese,R,Yan Gomes,543228,0,1,2,True,2014-06-17,Caught,2B
4727,2B,,Caught Stealing 3B,435062,Howie Kendrick,433587,Félix Hernández,501896,David Freese,R,Mike Zunino,572287,2,0,4,True,2014-05-28,Caught,3B
5077,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571800,Drew Hutchison,519068,Efren Navarro,R,Dioner Navarro,425900,1,1,4,True,2014-05-11,Stolen,2B
5078,1B,2B,Stolen Base 2B,435062,Howie Kendrick,573186,Marcus Stroman,519068,Efren Navarro,R,Dioner Navarro,425900,1,3,6,True,2014-05-11,Stolen,2B
5247,1B,2B,Stolen Base 2B,435062,Howie Kendrick,407890,Colby Lewis,545361,Mike Trout,R,J.P. Arencibia,450317,2,0,4,False,2014-05-02,Stolen,2B
5305,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502083,Zach McAllister,116380,Raul Ibanez,R,Yan Gomes,543228,0,0,1,False,2014-04-30,Stolen,2B
5307,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502083,Zach McAllister,545361,Mike Trout,R,Yan Gomes,543228,2,1,3,False,2014-04-30,Stolen,2B
5345,1B,2B,Stolen Base 2B,435062,Howie Kendrick,543766,Bryan Shaw,456655,Ian Stewart,R,Yan Gomes,543228,6,3,8,False,2014-04-28,Stolen,2B
5528,1B,,Caught Stealing 2B,435062,Howie Kendrick,519144,Rick Porcello,474233,Hank Conger,R,Alex Avila,488671,1,1,4,True,2014-04-20,Caught,2B
5615,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502381,Luke Gregerson,501896,David Freese,R,John Jaso,444379,4,4,9,False,2014-04-16,Stolen,2B
5842,1B,2B,Stolen Base 2B,435062,Howie Kendrick,444857,Scott Feldman,474233,Hank Conger,R,Jason Castro,488771,3,0,3,True,2014-04-06,Stolen,2B
5843,1B,2B,Stolen Base 2B,435062,Howie Kendrick,444857,Scott Feldman,474233,Hank Conger,R,Jason Castro,488771,5,1,7,True,2014-04-06,Stolen,2B
369,1B,2B,Stolen Base 2B,435062,Howie Kendrick,501529,Jorge De Leon,501896,David Freese,R,Max Stassi,545358,9,3,5,False,2014-09-12,Stolen,2B
867,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453329,Clay Buchholz,501896,David Freese,R,David Ross,424325,3,6,5,True,2014-08-20,Stolen,2B
1307,1B,,Caught Stealing 2B,435062,Howie Kendrick,488984,Tommy Hunter,501896,David Freese,R,Nick Hundley,460026,6,6,8,True,2014-07-29,Caught,2B
1470,1B,2B,Stolen Base 2B,435062,Howie Kendrick,433587,Félix Hernández,501896,David Freese,R,Jesús Sucre,491696,0,0,2,False,2014-07-19,Stolen,2B
1528,1B,2B,Stolen Base 2B,435062,Howie Kendrick,425840,Neal Cotts,519068,Efren Navarro,L,Robinson Chirinos,455139,7,9,9,True,2014-07-13,Stolen,2B
1854,1B,2B,Stolen Base 2B,435062,Howie Kendrick,136600,Bruce Chen,543068,C.J. Cron,L,Salvador Perez,521692,0,2,6,True,2014-06-28,Stolen,2B
2107,1B,,Caught Stealing 2B,435062,Howie Kendrick,458708,Josh Tomlin,501896,David Freese,R,Yan Gomes,543228,0,1,2,True,2014-06-17,Caught,2B
2483,2B,,Caught Stealing 3B,435062,Howie Kendrick,433587,Félix Hernández,501896,David Freese,R,Mike Zunino,572287,2,0,4,True,2014-05-28,Caught,3B
2833,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571800,Drew Hutchison,519068,Efren Navarro,R,Dioner Navarro,425900,1,1,4,True,2014-05-11,Stolen,2B
2834,1B,2B,Stolen Base 2B,435062,Howie Kendrick,573186,Marcus Stroman,519068,Efren Navarro,R,Dioner Navarro,425900,1,3,6,True,2014-05-11,Stolen,2B
3003,1B,2B,Stolen Base 2B,435062,Howie Kendrick,407890,Colby Lewis,545361,Mike Trout,R,J.P. Arencibia,450317,2,0,4,False,2014-05-02,Stolen,2B
3061,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502083,Zach McAllister,116380,Raul Ibanez,R,Yan Gomes,543228,0,0,1,False,2014-04-30,Stolen,2B
3063,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502083,Zach McAllister,545361,Mike Trout,R,Yan Gomes,543228,2,1,3,False,2014-04-30,Stolen,2B
3101,1B,2B,Stolen Base 2B,435062,Howie Kendrick,543766,Bryan Shaw,456655,Ian Stewart,R,Yan Gomes,543228,6,3,8,False,2014-04-28,Stolen,2B
3284,1B,,Caught Stealing 2B,435062,Howie Kendrick,519144,Rick Porcello,474233,Hank Conger,R,Alex Avila,488671,1,1,4,True,2014-04-20,Caught,2B
3371,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502381,Luke Gregerson,501896,David Freese,R,John Jaso,444379,4,4,9,False,2014-04-16,Stolen,2B
3598,1B,2B,Stolen Base 2B,435062,Howie Kendrick,444857,Scott Feldman,474233,Hank Conger,R,Jason Castro,488771,3,0,3,True,2014-04-06,Stolen,2B
3599,1B,2B,Stolen Base 2B,435062,Howie Kendrick,444857,Scott Feldman,474233,Hank Conger,R,Jason Castro,488771,5,1,7,True,2014-04-06,Stolen,2B
391,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
392,2B,3B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
649,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592351,Jon Gray,608369,Corey Seager,R,Nick Hundley,460026,0,0,3,True,2016-08-29,Stolen,2B
939,2B,3B,Stolen Base 3B,435062,Howie Kendrick,453172,Jared Hughes,574847,Rob Segedin,R,Francisco Cervelli,465041,8,3,6,False,2016-08-13,Stolen,3B
1381,1B,,Caught Stealing 2B,435062,Howie Kendrick,502190,Mike Leake,518735,Yasmani Grandal,R,Alberto Rosario,451705,0,0,2,True,2016-07-23,Caught,2B
1661,1B,,Caught Stealing 2B,435062,Howie Kendrick,501957,Chris Tillman,621035,Chris Taylor,R,Matt Wieters,446308,1,1,4,False,2016-07-05,Caught,2B
1821,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453172,Jared Hughes,475100,Scott Van Slyke,R,Erik Kratz,456124,4,4,5,True,2016-06-27,Stolen,2B
1998,1B,2B,Stolen Base 2B,435062,Howie Kendrick,448855,Junior Guerra,592626,Joc Pederson,R,Jonathan Lucroy,518960,0,0,2,False,2016-06-16,Stolen,2B
2223,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502032,Bud Norris,477132,Clayton Kershaw,R,Tyler Flowers,452095,1,0,4,False,2016-06-04,Stolen,2B
2305,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453562,Jake Arrieta,518735,Yasmani Grandal,R,Miguel Montero,471083,0,0,7,True,2016-05-31,Stolen,2B
2366,1B,2B,Stolen Base 2B,435062,Howie Kendrick,455374,Antonio Bastardo,518735,Yasmani Grandal,L,René Rivera,425784,0,2,7,True,2016-05-28,Stolen,2B
2444,1B,2B,Stolen Base 2B,435062,Howie Kendrick,605232,Brandon Finnegan,572204,Trayce Thompson,L,Tucker Barnhart,571466,0,0,4,False,2016-05-23,Stolen,2B
2725,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571927,Steven Matz,408236,Adrián González,L,Kevin Plawecki,608700,0,1,1,False,2016-05-09,Stolen,2B
361,1B,,Caught Stealing 2B,435062,Howie Kendrick,527054,Julio Teheran,475582,Ryan Zimmerman,R,Kurt Suzuki,435559,0,1,1,False,2017-09-12,Caught,2B
519,1B,2B,Stolen Base 2B,435062,Howie Kendrick,605540,Brandon Woodruff,502517,Daniel Murphy,R,Stephen Vogt,519390,0,0,4,True,2017-09-02,Stolen,2B
547,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519076,Jimmy Nelson,572191,Michael A. Taylor,R,Stephen Vogt,519390,1,0,2,True,2017-09-01,Stolen,2B
817,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571473,Buddy Baumann,502517,Daniel Murphy,L,Austin Hedges,595978,1,5,7,True,2017-08-18,Stolen,2B
1101,1B,2B,Stolen Base 2B,435062,Howie Kendrick,543294,Kyle Hendricks,547180,Bryce Harper,R,Willson Contreras,575929,0,2,3,True,2017-08-04,Stolen,2B
1158,1B,,Caught Stealing 2B,435062,Howie Kendrick,623395,Brian Ellington,475582,Ryan Zimmerman,R,J.T. Realmuto,592663,1,6,4,True,2017-08-01,Caught,2B
1845,1B,2B,Stolen Base 2B,435062,Howie Kendrick,544928,Tyler Lyons,571437,Aaron Altherr,L,Yadier Molina,425877,5,3,6,False,2017-06-21,Stolen,2B
2010,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519144,Rick Porcello,571830,Tommy Joseph,R,Sandy León,506702,0,2,1,True,2017-06-12,Stolen,2B
2012,1B,2B,Stolen Base 2B,435062,Howie Kendrick,519144,Rick Porcello,433217,Andrés Blanco,R,Sandy León,506702,4,5,5,True,2017-06-12,Stolen,2B
2013,2B,3B,Stolen Base 3B,435062,Howie Kendrick,519144,Rick Porcello,596748,Maikel Franco,R,Sandy León,506702,4,5,5,True,2017-06-12,Stolen,3B
2015,1B,,Caught Stealing 2B,435062,Howie Kendrick,518886,Craig Kimbrel,571830,Tommy Joseph,R,Sandy León,506702,5,5,9,True,2017-06-12,Caught,2B
2070,1B,2B,Stolen Base 2B,435062,Howie Kendrick,608379,Michael Wacha,571830,Tommy Joseph,R,Eric Fryer,518700,2,2,5,True,2017-06-09,Stolen,2B
2150,1B,2B,Stolen Base 2B,435062,Howie Kendrick,435400,Jason Motte,571830,Tommy Joseph,R,Kurt Suzuki,435559,1,3,8,True,2017-06-06,Stolen,2B
2180,2B,,Caught Stealing 3B,435062,Howie Kendrick,519043,Matt Moore,571830,Tommy Joseph,L,Buster Posey,457763,2,1,1,False,2017-06-04,Caught,3B
2286,1B,2B,Stolen Base 2B,435062,Howie Kendrick,450172,Edinson Volquez,571830,Tommy Joseph,R,J.T. Realmuto,592663,0,0,1,True,2017-05-29,Stolen,2B
3279,1B,2B,Stolen Base 2B,435062,Howie Kendrick,425386,Jeremy Guthrie,546318,Odúbel Herrera,R,Matt Wieters,446308,0,0,1,False,2017-04-08,Stolen,2B
3370,1B,,Caught Stealing 2B,435062,Howie Kendrick,444857,Scott Feldman,596748,Maikel Franco,R,Tucker Barnhart,571466,0,3,3,True,2017-04-03,Caught,2B
3798,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
3799,2B,3B,Stolen Base 2B,435062,Howie Kendrick,592741,Chasen Shreve,592808,Andrew Toles,L,Gary Sánchez,596142,1,6,3,True,2016-09-12,Stolen,2B
4056,1B,2B,Stolen Base 2B,435062,Howie Kendrick,592351,Jon Gray,608369,Corey Seager,R,Nick Hundley,460026,0,0,3,True,2016-08-29,Stolen,2B
4346,2B,3B,Stolen Base 3B,435062,Howie Kendrick,453172,Jared Hughes,574847,Rob Segedin,R,Francisco Cervelli,465041,8,3,6,False,2016-08-13,Stolen,3B
4788,1B,,Caught Stealing 2B,435062,Howie Kendrick,502190,Mike Leake,518735,Yasmani Grandal,R,Alberto Rosario,451705,0,0,2,True,2016-07-23,Caught,2B
5068,1B,,Caught Stealing 2B,435062,Howie Kendrick,501957,Chris Tillman,621035,Chris Taylor,R,Matt Wieters,446308,1,1,4,False,2016-07-05,Caught,2B
5228,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453172,Jared Hughes,475100,Scott Van Slyke,R,Erik Kratz,456124,4,4,5,True,2016-06-27,Stolen,2B
5405,1B,2B,Stolen Base 2B,435062,Howie Kendrick,448855,Junior Guerra,592626,Joc Pederson,R,Jonathan Lucroy,518960,0,0,2,False,2016-06-16,Stolen,2B
5630,1B,2B,Stolen Base 2B,435062,Howie Kendrick,502032,Bud Norris,477132,Clayton Kershaw,R,Tyler Flowers,452095,1,0,4,False,2016-06-04,Stolen,2B
5712,1B,2B,Stolen Base 2B,435062,Howie Kendrick,453562,Jake Arrieta,518735,Yasmani Grandal,R,Miguel Montero,471083,0,0,7,True,2016-05-31,Stolen,2B
5773,1B,2B,Stolen Base 2B,435062,Howie Kendrick,455374,Antonio Bastardo,518735,Yasmani Grandal,L,René Rivera,425784,0,2,7,True,2016-05-28,Stolen,2B
5851,1B,2B,Stolen Base 2B,435062,Howie Kendrick,605232,Brandon Finnegan,572204,Trayce Thompson,L,Tucker Barnhart,571466,0,0,4,False,2016-05-23,Stolen,2B
6132,1B,2B,Stolen Base 2B,435062,Howie Kendrick,571927,Steven Matz,408236,Adrián González,L,Kevin Plawecki,608700,0,1,1,False,2016-05-09,Stolen,2B
