,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year,Sprint
0,0,0,0,0,0,0,37,1B,,Caught Stealing 2B,543510,James McCann,592094,Jason Adam,641553,Adam Engel,R,Willson Contreras,575929,7,5,5,False,2020-09-26,Caught,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
1,1,1,1,1,1,1,295,1B,2B,Stolen Base 2B,543510,James McCann,605513,Spencer Turnbull,660162,Yoán Moncada,R,Austin Romine,519222,1,1,2,False,2020-09-13,Stolen,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
2,2,2,2,2,2,2,2880,1B,,Caught Stealing 2B,543510,James McCann,592094,Jason Adam,641553,Adam Engel,R,Willson Contreras,575929,7,5,5,False,2020-09-26,Caught,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
3,3,3,3,3,3,3,3138,1B,2B,Stolen Base 2B,543510,James McCann,605513,Spencer Turnbull,660162,Yoán Moncada,R,Austin Romine,519222,1,1,2,False,2020-09-13,Stolen,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
4,4,4,4,4,4,4,4804,1B,,Caught Stealing 2B,543510,James McCann,592094,Jason Adam,641553,Adam Engel,R,Willson Contreras,575929,7,5,5,False,2020-09-26,Caught,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
5,5,5,5,5,5,5,5062,1B,2B,Stolen Base 2B,543510,James McCann,605513,Spencer Turnbull,660162,Yoán Moncada,R,Austin Romine,519222,1,1,2,False,2020-09-13,Stolen,2B,2020,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7,2021,26.7
6,6,6,6,6,6,6,2211,2B,,Caught Stealing 3B,543510,James McCann,573046,Mike Morin,641553,Adam Engel,R,J.T. Realmuto,592663,2,2,7,True,2019-08-02,Caught,3B,2019,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2
7,7,7,7,7,7,7,2760,1B,2B,Stolen Base 2B,543510,James McCann,657031,Josh Taylor,445055,Jon Jay,L,Christian Vázquez,543877,4,5,8,True,2019-06-24,Stolen,2B,2019,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2
8,8,8,8,8,8,8,3326,1B,2B,Stolen Base 2B,543510,James McCann,657624,Josh James,650391,Eloy Jiménez,R,Max Stassi,545358,0,4,7,True,2019-05-23,Stolen,2B,2019,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2
9,9,9,9,9,9,9,3751,1B,2B,Stolen Base 2B,543510,James McCann,621385,Daniel Stumpf,660162,Yoán Moncada,L,Grayson Greiner,606988,11,10,7,False,2019-04-26,Stolen,2B,2019,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2,2020,26.2
