,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,151,1B,,Caught Stealing 2B,516416,Jean Segura,434671,Aníbal Sánchez,457803,Jay Bruce,R,Kurt Suzuki,435559,2,0,2,True,2020-09-21,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
1,1,1,1,491,1B,2B,Stolen Base 2B,516416,Jean Segura,519144,Rick Porcello,457803,Jay Bruce,R,Wilson Ramos,467092,0,1,2,True,2020-09-04,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
2,2,2,2,964,1B,2B,Stolen Base 2B,516416,Jean Segura,554431,Tyler Matzek,435522,Neil Walker,L,Tyler Flowers,452095,1,0,4,False,2020-08-09,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
3,3,3,3,1215,1B,,Caught Stealing 2B,516416,Jean Segura,592761,Caleb Smith,664068,Scott Kingery,L,Chad Wallach,595453,1,0,3,False,2020-07-25,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
4,4,4,4,1258,1B,,Caught Stealing 2B,516416,Jean Segura,453286,Max Scherzer,457803,Jay Bruce,R,Kurt Suzuki,435559,0,3,1,True,2020-07-18,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
5,5,5,5,2994,1B,,Caught Stealing 2B,516416,Jean Segura,434671,Aníbal Sánchez,457803,Jay Bruce,R,Kurt Suzuki,435559,2,0,2,True,2020-09-21,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
6,6,6,6,3334,1B,2B,Stolen Base 2B,516416,Jean Segura,519144,Rick Porcello,457803,Jay Bruce,R,Wilson Ramos,467092,0,1,2,True,2020-09-04,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
7,7,7,7,3807,1B,2B,Stolen Base 2B,516416,Jean Segura,554431,Tyler Matzek,435522,Neil Walker,L,Tyler Flowers,452095,1,0,4,False,2020-08-09,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
8,8,8,8,4058,1B,,Caught Stealing 2B,516416,Jean Segura,592761,Caleb Smith,664068,Scott Kingery,L,Chad Wallach,595453,1,0,3,False,2020-07-25,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
9,9,9,9,4101,1B,,Caught Stealing 2B,516416,Jean Segura,453286,Max Scherzer,457803,Jay Bruce,R,Kurt Suzuki,435559,0,3,1,True,2020-07-18,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3,2021,27.3
