,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
74,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,664285,Framber Valdez,606192,Teoscar Hernández,L,Martín Maldonado,455117,1,0,1,False,2023-09-27,Stolen,3B
345,2B,,Caught Stealing 3B,677594,Julio Rodríguez,477132,Clayton Kershaw,606192,Teoscar Hernández,L,Will Smith,669257,0,0,3,False,2023-09-16,Caught,3B
741,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,656887,Sean Reid-Foley,553993,Eugenio Suárez,R,Omar Narváez,553882,3,7,6,True,2023-09-02,Stolen,2B
908,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,663903,Brady Singer,663728,Cal Raleigh,R,Salvador Perez,521692,2,0,1,False,2023-08-25,Stolen,2B
965,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,656629,Michael Kopech,553993,Eugenio Suárez,R,Carlos Pérez,656024,0,0,1,True,2023-08-23,Stolen,2B
1048,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,664285,Framber Valdez,553993,Eugenio Suárez,L,Martín Maldonado,455117,0,1,1,True,2023-08-19,Stolen,2B
1074,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,641585,J.P. France,553993,Eugenio Suárez,R,Martín Maldonado,455117,0,0,1,True,2023-08-18,Stolen,2B
1075,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,664353,José Urquidy,553993,Eugenio Suárez,R,Martín Maldonado,455117,0,2,9,True,2023-08-18,Stolen,2B
1102,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,679525,Alec Marsh,553993,Eugenio Suárez,R,Salvador Perez,521692,3,4,6,True,2023-08-16,Stolen,2B
1103,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,679525,Alec Marsh,606192,Teoscar Hernández,R,Salvador Perez,521692,3,4,6,True,2023-08-16,Stolen,3B
1128,1B,,Caught Stealing 2B,677594,Julio Rodríguez,543475,Jordan Lyles,664034,Ty France,R,Freddy Fermin,666023,0,0,1,True,2023-08-15,Caught,2B
1153,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,672578,Carlos Hernández,553993,Eugenio Suárez,R,Salvador Perez,521692,5,4,8,True,2023-08-14,Stolen,3B
1277,1B,,Caught Stealing 2B,677594,Julio Rodríguez,607259,Nick Martinez,553993,Eugenio Suárez,R,Gary Sánchez,596142,0,0,1,False,2023-08-08,Caught,2B
1324,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,519043,Matt Moore,553993,Eugenio Suárez,L,Matt Thaiss,642136,2,2,8,True,2023-08-06,Stolen,2B
1356,1B,,Caught Stealing 2B,677594,Julio Rodríguez,542881,Tyler Anderson,606192,Teoscar Hernández,L,Chad Wallach,595453,0,0,1,True,2023-08-05,Caught,2B
1415,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,660271,Shohei Ohtani,663728,Cal Raleigh,R,Chad Wallach,595453,0,0,1,True,2023-08-03,Stolen,2B
1441,3B,score,Stolen Base Home,677594,Julio Rodríguez,661440,Mauricio Llovera,664034,Ty France,R,Connor Wong,657136,6,3,7,False,2023-08-02,Stolen,Home
1523,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,674072,Tommy Henry,553993,Eugenio Suárez,L,Jose Herrera,645444,0,0,1,True,2023-07-28,Stolen,2B
1623,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,657024,Erik Swanson,553993,Eugenio Suárez,R,Alejandro Kirk,672386,3,4,7,False,2023-07-23,Stolen,2B
1871,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,656232,Brandon Bielak,664034,Ty France,R,Martín Maldonado,455117,0,0,4,True,2023-07-09,Stolen,2B
1873,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,650556,Bryan Abreu,664034,Ty France,R,Martín Maldonado,455117,1,3,8,True,2023-07-09,Stolen,2B
2025,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,666808,Camilo Doval,672284,Jarred Kelenic,R,Blake Sabol,666165,2,5,9,True,2023-07-03,Stolen,3B
2050,1B,,Caught Stealing 2B,677594,Julio Rodríguez,687330,Kevin Kelly,664034,Ty France,R,Francisco Mejía,642336,5,6,4,False,2023-07-02,Caught,2B
2071,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,607192,Tyler Glasnow,664034,Ty France,R,Christian Bethancourt,542194,2,0,3,False,2023-07-01,Stolen,2B
2187,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,592866,Trevor Williams,664034,Ty France,R,Keibert Ruiz,660688,3,3,4,False,2023-06-26,Stolen,2B
2250,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,665152,Dean Kremer,664034,Ty France,R,Adley Rutschman,668939,1,2,3,True,2023-06-24,Stolen,2B
2306,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,666745,Jhony Brito,664034,Ty France,R,Kyle Higashioka,543309,0,0,1,True,2023-06-21,Stolen,2B
2351,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,458681,Lance Lynn,664034,Ty France,R,Yasmani Grandal,518735,2,1,6,False,2023-06-18,Stolen,2B
2387,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,608337,Lucas Giolito,606192,Teoscar Hernández,R,Seby Zavala,664874,3,2,5,False,2023-06-17,Stolen,2B
2388,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,607481,Aaron Bummer,663728,Cal Raleigh,L,Seby Zavala,664874,3,3,10,False,2023-06-17,Stolen,3B
2749,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,622250,Josh Sborz,606192,Teoscar Hernández,R,Mitch Garver,641598,6,3,4,True,2023-06-03,Stolen,2B
2769,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,592351,Jon Gray,672284,Jarred Kelenic,R,Sandy León,506702,0,0,4,True,2023-06-02,Stolen,2B
2802,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,657376,Clarke Schmidt,553993,Eugenio Suárez,R,Jose Trevino,624431,0,0,4,False,2023-05-31,Stolen,2B
