,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1452,1B,,Caught Stealing 2B,544725,Leury García,543606,Jake Odorizzi,547989,José Abreu,R,Jason Castro,488771,0,0,1,True,2019-09-18,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
1,1,1,1,1,1,1907,1B,2B,Stolen Base 2B,544725,Leury García,642558,Ariel Jurado,641313,Tim Anderson,R,Jose Trevino,624431,5,1,4,False,2019-08-22,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
2,2,2,2,2,2,2078,1B,2B,Stolen Base 2B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
3,3,3,3,3,3,2079,2B,3B,Stolen Base 3B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,3B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
4,4,4,4,4,4,2252,1B,2B,Stolen Base 2B,544725,Leury García,592789,Noah Syndergaard,445055,Jon Jay,R,Tomás Nido,621512,0,2,6,False,2019-07-30,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
5,5,5,5,5,5,2305,1B,2B,Stolen Base 2B,544725,Leury García,501381,Michael Pineda,445055,Jon Jay,R,Jason Castro,488771,0,0,1,False,2019-07-26,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
6,6,6,6,6,6,2379,1B,2B,Stolen Base 2B,544725,Leury García,605483,Blake Snell,660162,Yoán Moncada,L,Travis d'Arnaud,518595,0,0,1,True,2019-07-21,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
7,7,7,7,7,7,2380,2B,3B,Stolen Base 3B,544725,Leury García,605483,Blake Snell,547989,José Abreu,L,Travis d'Arnaud,518595,0,0,1,True,2019-07-21,Stolen,3B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
8,8,8,8,8,8,2746,1B,,Caught Stealing 2B,544725,Leury García,598264,Matt Barnes,570560,Yolmer Sánchez,R,Christian Vázquez,543877,7,6,9,True,2019-06-26,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
9,9,9,9,9,9,2762,1B,2B,Stolen Base 2B,544725,Leury García,519443,Brandon Workman,641313,Tim Anderson,R,Christian Vázquez,543877,5,5,9,True,2019-06-24,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
10,10,10,10,10,10,3139,1B,,Caught Stealing 2B,544725,Leury García,544931,Stephen Strasburg,660162,Yoán Moncada,R,Yan Gomes,543228,2,5,4,True,2019-06-04,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
11,11,11,11,11,11,3309,1B,,Caught Stealing 2B,544725,Leury García,502043,Kyle Gibson,660162,Yoán Moncada,R,Willians Astudillo,553902,2,0,3,True,2019-05-25,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
12,12,12,12,12,12,3407,1B,2B,Stolen Base 2B,544725,Leury García,456387,Ryan Feierabend,641313,Tim Anderson,L,Luke Maile,571912,4,1,4,False,2019-05-18,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
13,13,13,13,13,13,3427,1B,2B,Stolen Base 2B,544725,Leury García,573186,Marcus Stroman,475174,Yonder Alonso,R,Danny Jansen,643376,0,0,1,False,2019-05-16,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
14,14,14,14,14,14,3523,1B,,Caught Stealing 2B,544725,Leury García,573186,Marcus Stroman,660162,Yoán Moncada,R,Luke Maile,571912,0,2,5,True,2019-05-11,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
15,15,15,15,15,15,3623,1B,2B,Stolen Base 2B,544725,Leury García,519144,Rick Porcello,475174,Yonder Alonso,R,Christian Vázquez,543877,0,0,1,False,2019-05-05,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
16,16,16,16,16,16,3972,1B,2B,Stolen Base 2B,544725,Leury García,547888,Masahiro Tanaka,660162,Yoán Moncada,R,Kyle Higashioka,543309,2,4,5,True,2019-04-14,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
17,17,17,17,17,17,4055,1B,2B,Stolen Base 2B,544725,Leury García,607192,Tyler Glasnow,660162,Yoán Moncada,R,Mike Zunino,572287,0,3,3,False,2019-04-10,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
18,18,18,18,18,18,4139,1B,2B,Stolen Base 2B,544725,Leury García,579328,Yusei Kikuchi,641313,Tim Anderson,L,Omar Narváez,553882,5,1,2,False,2019-04-05,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
19,19,19,19,19,19,4141,1B,2B,Stolen Base 2B,544725,Leury García,579328,Yusei Kikuchi,641313,Tim Anderson,L,Omar Narváez,553882,5,1,2,False,2019-04-04,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
20,20,20,20,20,20,4168,1B,2B,Stolen Base 2B,544725,Leury García,446372,Corey Kluber,660162,Yoán Moncada,R,Roberto Pérez,547379,0,0,1,True,2019-04-03,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
21,21,21,21,21,21,4295,1B,,Caught Stealing 2B,544725,Leury García,543606,Jake Odorizzi,547989,José Abreu,R,Jason Castro,488771,0,0,1,True,2019-09-18,Caught,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
22,22,22,22,22,22,4750,1B,2B,Stolen Base 2B,544725,Leury García,642558,Ariel Jurado,641313,Tim Anderson,R,Jose Trevino,624431,5,1,4,False,2019-08-22,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
23,23,23,23,23,23,4921,1B,2B,Stolen Base 2B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
24,24,24,24,24,24,4922,2B,3B,Stolen Base 3B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,3B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
25,25,25,25,25,25,5095,1B,2B,Stolen Base 2B,544725,Leury García,592789,Noah Syndergaard,445055,Jon Jay,R,Tomás Nido,621512,0,2,6,False,2019-07-30,Stolen,2B,2019,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3,2020,28.3
