,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,621439,Byron Buxton,425844,Zack Greinke,596146,Max Kepler,R,Martín Maldonado,455117,0,0,1,False,2020-09-29,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
1,1,1,1,1,1,1,1,1B,2B,Stolen Base 2B,641786,Kyle Lewis,642130,Blake Taylor,664034,Ty France,L,Martín Maldonado,455117,3,0,7,False,2020-09-23,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
2,2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,608597,Ronald Guzmán,664353,José Urquidy,669087,Sam Huff,R,Martín Maldonado,455117,1,1,5,True,2020-09-15,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,592192,Mark Canha,668687,Andre Scrubb,605353,Vimael Machín,R,Martín Maldonado,455117,2,1,7,False,2020-09-10,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,620439,Franklin Barreto,664285,Framber Valdez,592743,Andrelton Simmons,L,Martín Maldonado,455117,5,3,6,False,2020-09-06,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
5,5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,660271,Shohei Ohtani,656232,Brandon Bielak,457708,Justin Upton,R,Martín Maldonado,455117,1,0,1,False,2020-09-05,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
6,6,6,6,6,6,6,6,1B,,Caught Stealing 2B,642201,Eli White,660600,Enoli Paredes,643396,Isiah Kiner-Falefa,R,Martín Maldonado,455117,2,1,8,True,2020-09-02,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
7,7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,592518,Manny Machado,425844,Zack Greinke,543333,Eric Hosmer,R,Martín Maldonado,455117,0,3,1,False,2020-08-23,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
8,8,8,8,8,8,8,8,1B,,Caught Stealing 2B,664238,Dylan Moore,621121,Lance McCullers Jr.,641786,Kyle Lewis,R,Martín Maldonado,455117,0,0,1,True,2020-08-16,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
9,9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,657108,Evan White,621121,Lance McCullers Jr.,641929,Joseph Odom,R,Martín Maldonado,455117,1,1,3,True,2020-08-16,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
