,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,596043,Daniel Mengden,596129,Daniel Vogelbach,R,Nick Hundley,460026,0,1,2,True,2019-05-24,Stolen,2B,2019,2020,26.9
1,1B,2B,Stolen Base 2B,608070,José Ramírez,605156,Aaron Brooks,641343,Jake Bauers,R,Nick Hundley,460026,1,0,4,True,2019-05-11,Stolen,2B,2019,2020,26.9
2,1B,,Caught Stealing 2B,502273,Mike Freeman,605156,Aaron Brooks,547379,Roberto Pérez,R,Nick Hundley,460026,1,0,5,True,2019-05-11,Caught,2B,2019,2020,26.9
3,1B,2B,Stolen Base 2B,543401,Jason Kipnis,642152,Lou Trivino,608070,José Ramírez,R,Nick Hundley,460026,2,1,8,True,2019-05-11,Stolen,2B,2019,2020,26.9
4,1B,2B,Stolen Base 2B,596019,Francisco Lindor,595014,Blake Treinen,543401,Jason Kipnis,R,Nick Hundley,460026,2,2,9,True,2019-05-11,Stolen,2B,2019,2020,26.9
5,1B,,Caught Stealing 2B,456488,Eduardo Núñez,407845,Fernando Rodney,571788,Brock Holt,R,Nick Hundley,460026,3,3,9,True,2019-04-03,Caught,2B,2019,2020,26.9
6,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,596043,Daniel Mengden,596129,Daniel Vogelbach,R,Nick Hundley,460026,0,1,2,True,2019-05-24,Stolen,2B,2019,2020,26.9
7,1B,2B,Stolen Base 2B,608070,José Ramírez,605156,Aaron Brooks,641343,Jake Bauers,R,Nick Hundley,460026,1,0,4,True,2019-05-11,Stolen,2B,2019,2020,26.9
8,1B,,Caught Stealing 2B,502273,Mike Freeman,605156,Aaron Brooks,547379,Roberto Pérez,R,Nick Hundley,460026,1,0,5,True,2019-05-11,Caught,2B,2019,2020,26.9
9,1B,2B,Stolen Base 2B,543401,Jason Kipnis,642152,Lou Trivino,608070,José Ramírez,R,Nick Hundley,460026,2,1,8,True,2019-05-11,Stolen,2B,2019,2020,26.9
10,1B,2B,Stolen Base 2B,596019,Francisco Lindor,595014,Blake Treinen,543401,Jason Kipnis,R,Nick Hundley,460026,2,2,9,True,2019-05-11,Stolen,2B,2019,2020,26.9
11,1B,,Caught Stealing 2B,456488,Eduardo Núñez,407845,Fernando Rodney,571788,Brock Holt,R,Nick Hundley,460026,3,3,9,True,2019-04-03,Caught,2B,2019,2020,26.9
12,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,596043,Daniel Mengden,596129,Daniel Vogelbach,R,Nick Hundley,460026,0,1,2,True,2019-05-24,Stolen,2B,2019,2020,26.9
13,1B,2B,Stolen Base 2B,608070,José Ramírez,605156,Aaron Brooks,641343,Jake Bauers,R,Nick Hundley,460026,1,0,4,True,2019-05-11,Stolen,2B,2019,2020,26.9
14,1B,,Caught Stealing 2B,502273,Mike Freeman,605156,Aaron Brooks,547379,Roberto Pérez,R,Nick Hundley,460026,1,0,5,True,2019-05-11,Caught,2B,2019,2020,26.9
15,1B,2B,Stolen Base 2B,543401,Jason Kipnis,642152,Lou Trivino,608070,José Ramírez,R,Nick Hundley,460026,2,1,8,True,2019-05-11,Stolen,2B,2019,2020,26.9
16,1B,2B,Stolen Base 2B,596019,Francisco Lindor,595014,Blake Treinen,543401,Jason Kipnis,R,Nick Hundley,460026,2,2,9,True,2019-05-11,Stolen,2B,2019,2020,26.9
17,1B,,Caught Stealing 2B,456488,Eduardo Núñez,407845,Fernando Rodney,571788,Brock Holt,R,Nick Hundley,460026,3,3,9,True,2019-04-03,Caught,2B,2019,2020,26.9
