,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,2B,Stolen Base 2B,593700,Alen Hanson,475115,Tyson Ross,605498,Andrew Suárez,R,Raffy Lopez,607257,0,2,5,False,2018-05-01,Stolen,2B,2018,2019,26.8
1,1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,607352,Joe Biagini,592450,Aaron Judge,R,Raffy Lopez,607257,0,0,1,False,2017-09-29,Stolen,2B,2017,2018,28.4
2,1B,2B,Stolen Base 2B,516770,Starlin Castro,607352,Joe Biagini,452104,Chase Headley,R,Raffy Lopez,607257,2,0,1,False,2017-09-29,Stolen,2B,2017,2018,28.4
3,1B,2B,Stolen Base 2B,543305,Aaron Hicks,607352,Joe Biagini,453056,Jacoby Ellsbury,R,Raffy Lopez,607257,2,0,5,False,2017-09-29,Stolen,2B,2017,2018,28.4
4,1B,2B,Stolen Base 2B,544369,Didi Gregorius,571616,Matt Dermody,516770,Starlin Castro,L,Raffy Lopez,607257,3,0,6,False,2017-09-29,Stolen,2B,2017,2018,28.4
5,1B,2B,Stolen Base 2B,452104,Chase Headley,607352,Joe Biagini,453056,Jacoby Ellsbury,R,Raffy Lopez,607257,1,0,5,True,2017-09-23,Stolen,2B,2017,2018,28.4
6,1B,,Caught Stealing 2B,453056,Jacoby Ellsbury,571901,Aaron Loup,516770,Starlin Castro,L,Raffy Lopez,607257,1,3,7,True,2017-09-23,Caught,2B,2017,2018,28.4
7,2B,3B,Stolen Base 3B,593160,Whit Merrifield,474463,Brett Anderson,466320,Melky Cabrera,L,Raffy Lopez,607257,0,1,1,True,2017-09-20,Stolen,3B,2017,2018,28.4
8,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,474463,Brett Anderson,466320,Melky Cabrera,L,Raffy Lopez,607257,0,1,1,True,2017-09-20,Stolen,2B,2017,2018,28.4
9,2B,3B,Stolen Base 3B,460086,Alex Gordon,474463,Brett Anderson,466320,Melky Cabrera,L,Raffy Lopez,607257,0,5,2,True,2017-09-20,Stolen,3B,2017,2018,28.4
10,1B,2B,Stolen Base 2B,593160,Whit Merrifield,474463,Brett Anderson,466320,Melky Cabrera,L,Raffy Lopez,607257,0,5,2,True,2017-09-20,Stolen,2B,2017,2018,28.4
11,1B,2B,Stolen Base 2B,593428,Xander Bogaerts,457918,J.A. Happ,646240,Rafael Devers,L,Raffy Lopez,607257,1,1,6,True,2017-08-30,Stolen,2B,2017,2018,28.4
