,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,1B,2B,Stolen Base 2B,664238,Dylan Moore,592761,Caleb Smith,641786,Kyle Lewis,L,Stephen Vogt,519390,0,0,1,True,2020-09-11,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
1,1,1,1,1,1B,2B,Stolen Base 2B,527038,Wilmer Flores,592233,Stefan Crichton,543063,Brandon Crawford,R,Stephen Vogt,519390,2,4,7,True,2020-08-29,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
2,2,2,2,2,1B,,Caught Stealing 2B,643289,Mauricio Dubón,592233,Stefan Crichton,573262,Mike Yastrzemski,R,Stephen Vogt,519390,2,4,8,True,2020-08-29,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
3,3,3,3,3,1B,2B,Stolen Base 2B,596115,Trevor Story,592662,Robbie Ray,571448,Nolan Arenado,L,Stephen Vogt,519390,0,2,3,True,2020-08-26,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
4,4,4,4,4,1B,2B,Stolen Base 2B,656541,Sam Hilliard,661255,Yoan López,460077,Drew Butera,R,Stephen Vogt,519390,1,2,6,True,2020-08-26,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
5,5,5,5,5,1B,2B,Stolen Base 2B,658069,Joshua Fuentes,656464,Kevin Ginkel,553869,Elias Díaz,R,Stephen Vogt,519390,1,3,7,True,2020-08-26,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
6,6,6,6,6,1B,2B,Stolen Base 2B,596115,Trevor Story,622065,Alex Young,453568,Charlie Blackmon,L,Stephen Vogt,519390,2,2,3,True,2020-08-25,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
7,7,7,7,7,1B,2B,Stolen Base 2B,596115,Trevor Story,592233,Stefan Crichton,571448,Nolan Arenado,R,Stephen Vogt,519390,3,4,7,True,2020-08-25,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
8,8,8,8,8,1B,2B,Stolen Base 2B,606132,Raimel Tapia,642203,Taylor Widener,571448,Nolan Arenado,R,Stephen Vogt,519390,2,3,5,True,2020-08-24,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
9,9,9,9,9,1B,,Caught Stealing 2B,643289,Mauricio Dubón,656464,Kevin Ginkel,456781,Donovan Solano,R,Stephen Vogt,519390,4,2,6,False,2020-08-21,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
10,10,10,10,10,1B,2B,Stolen Base 2B,592192,Mark Canha,622065,Alex Young,621566,Matt Olson,L,Stephen Vogt,519390,3,0,4,False,2020-08-20,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
11,11,11,11,11,1B,2B,Stolen Base 2B,502054,Tommy Pham,592662,Robbie Ray,630105,Jake Cronenworth,L,Stephen Vogt,519390,0,0,2,True,2020-08-16,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
12,12,12,12,12,1B,2B,Stolen Base 2B,543333,Eric Hosmer,518876,Merrill Kelly,630105,Jake Cronenworth,R,Stephen Vogt,519390,0,0,2,True,2020-08-14,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4,2021,28.4,2021,28.4
