,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,1B,,Caught Stealing 2B,598265,Jackie Bradley Jr.,608652,Luke Farrell,643217,Andrew Benintendi,R,Tim Federowicz,543148,3,5,4,True,2019-09-25,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
1,1,1,1,1,1,1,1,1B,2B,Stolen Base 2B,605480,Mallex Smith,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,2,3,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
2,2,2,2,2,2,2,2,2B,3B,Stolen Base 3B,605480,Mallex Smith,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,2,3,True,2019-07-30,Stolen,3B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,542979,Keon Broxton,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,4,4,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,641487,J.P. Crawford,570488,Phillips Valdez,596129,Daniel Vogelbach,R,Tim Federowicz,543148,5,8,8,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
5,5,5,5,5,5,5,5,1B,,Caught Stealing 2B,572033,Josh Phegley,642558,Ariel Jurado,543760,Marcus Semien,R,Tim Federowicz,543148,3,0,2,False,2019-07-25,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,664702,Myles Straw,570488,Phillips Valdez,543807,George Springer,R,Tim Federowicz,543148,6,1,6,False,2019-07-20,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
7,7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,664702,Myles Straw,592716,Adrian Sampson,543807,George Springer,R,Tim Federowicz,543148,4,7,6,True,2019-07-12,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
8,8,8,8,8,8,8,8,1B,,Caught Stealing 2B,640458,Óscar Mercado,445926,Jesse Chavez,467793,Carlos Santana,R,Tim Federowicz,543148,3,8,7,True,2019-06-19,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
9,9,9,9,9,9,9,9,1B,,Caught Stealing 2B,598265,Jackie Bradley Jr.,608652,Luke Farrell,643217,Andrew Benintendi,R,Tim Federowicz,543148,3,5,4,True,2019-09-25,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
