,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
3626,1B,,Caught Stealing 2B,594694,Wilmer Difo,621107,Zach Eflin,594809,Adam Eaton,R,Andrew Knapp,595284,0,0,1,True,2019-05-05,Caught,2B
310,1B,2B,Stolen Base 2B,594694,Wilmer Difo,607560,Ryne Harper,592325,Ben Gamel,R,Keibert Ruiz,660688,10,7,8,False,2021-09-11,Stolen,2B
6469,1B,,Caught Stealing 2B,594694,Wilmer Difo,621107,Zach Eflin,594809,Adam Eaton,R,Andrew Knapp,595284,0,0,1,True,2019-05-05,Caught,2B
2234,1B,2B,Stolen Base 2B,594694,Wilmer Difo,607560,Ryne Harper,592325,Ben Gamel,R,Keibert Ruiz,660688,10,7,8,False,2021-09-11,Stolen,2B
8393,1B,,Caught Stealing 2B,594694,Wilmer Difo,621107,Zach Eflin,594809,Adam Eaton,R,Andrew Knapp,595284,0,0,1,True,2019-05-05,Caught,2B
336,1B,2B,Stolen Base 2B,594694,Wilmer Difo,594798,Jacob deGrom,476451,Jeremy Hellickson,R,Jose Lobaton,446653,2,1,5,True,2018-04-16,Stolen,2B
444,2B,,Caught Stealing 3B,594694,Wilmer Difo,621345,A.J. Minter,600474,Pedro Severino,L,Carlos Pérez,542208,4,0,8,False,2018-04-10,Caught,3B
617,1B,2B,Stolen Base 2B,594694,Wilmer Difo,451596,Yovani Gallardo,594809,Adam Eaton,R,Devin Mesoraco,519023,1,5,7,True,2018-04-01,Stolen,2B
736,1B,2B,Stolen Base 2B,594694,Wilmer Difo,605400,Aaron Nola,475582,Ryan Zimmerman,R,Andrew Knapp,595284,1,2,5,True,2017-09-25,Stolen,2B
1063,1B,2B,Stolen Base 2B,594694,Wilmer Difo,605400,Aaron Nola,502517,Daniel Murphy,R,Jorge Alfaro,595751,1,3,5,False,2017-09-07,Stolen,2B
1297,1B,2B,Stolen Base 2B,594694,Wilmer Difo,544727,Jeurys Familia,543685,Anthony Rendon,R,Kevin Plawecki,608700,9,4,8,False,2017-08-26,Stolen,2B
