,Unnamed: 0,Start_Base,End_Base,Event,Respon_Pitcher,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2,79,1B,2B,Stolen Base 2B,,425533,Jason Ellison,Ramon Hernandez,1,4,9,True,2004-09-30,Stolen,2B,2004
3,38,1B,2B,Stolen Base 2B,,112736,Craig Counsell,Mike Matheny,0,4,4,True,2004-09-30,Stolen,2B,2004
4,121,1B,2B,Stolen Base 2B,,112155,Roger Cedeno,Chad Moeller,6,7,9,False,2004-09-30,Stolen,2B,2004
5,54,1B,2B,Stolen Base 2B,,123610,Jose Valentin,John Buck,2,2,6,True,2004-09-30,Stolen,2B,2004
6,69,1B,2B,Stolen Base 2B,,430585,Jason Kubel,Jorge Posada,3,3,7,True,2004-09-30,Stolen,2B,2004
7,99,1B,2B,Stolen Base 2B,,135784,Placido Polanco,Paul Lo Duca,4,4,7,False,2004-09-30,Stolen,2B,2004
8,108,1B,2B,Stolen Base 2B,,150100,Pat Burrell,Paul Lo Duca,7,4,7,False,2004-09-30,Stolen,2B,2004
9,111,1B,2B,Stolen Base 2B,,117759,Mike Lieberthal,Paul Lo Duca,7,4,7,False,2004-09-30,Stolen,2B,2004
10,10,1B,2B,Stolen Base 2B,,425567,Alex Rios,Geronimo Gil,0,1,2,True,2004-09-30,Stolen,2B,2004
11,26,2B,3B,Stolen Base 3B,,150484,Vernon Wells,Geronimo Gil,0,3,3,True,2004-09-30,Stolen,3B,2004
12,79,1B,2B,Stolen Base 2B,,150472,Ryan Freel,Michael Barrett,1,1,10,True,2004-09-30,Stolen,2B,2004
13,100,1B,2B,Stolen Base 2B,,276055,Adam Dunn,Michael Barrett,1,1,12,True,2004-09-30,Stolen,2B,2004
14,68,1B,2B,Stolen Base 2B,,408210,Chone Figgins,Ken Huckaby,5,1,6,True,2004-09-30,Stolen,2B,2004
15,3,1B,,Caught Stealing 2B,,407155,Craig Monroe,Toby Hall,0,0,1,True,2004-09-30,Caught,2B,2004
16,4,2B,3B,Caught Stealing 2B,,408299,Omar Infante,Toby Hall,0,0,1,True,2004-09-30,Caught,2B,2004
17,45,1B,2B,Stolen Base 2B,,430605,Ryan Raburn,Toby Hall,2,2,5,True,2004-09-30,Stolen,2B,2004
18,68,1B,2B,Stolen Base 2B,,150390,Damian Rolls,Brandon Inge,3,2,7,False,2004-09-30,Stolen,2B,2004
19,72,3B,,Caught Stealing Home,,150390,Damian Rolls,Brandon Inge,3,2,7,False,2004-09-30,Caught,Home,2004
20,20,1B,2B,Stolen Base 2B,,408299,Omar Infante,Brook Fordyce,0,1,3,True,2004-09-30,Stolen,2B,2004
21,55,1B,2B,Stolen Base 2B,,134181,Adrian Beltré,Todd Greene,1,1,6,False,2004-09-29,Stolen,2B,2004
22,3,1B,2B,Stolen Base 2B,,123744,Omar Vizquel,John Buck,0,1,1,True,2004-09-29,Stolen,2B,2004
23,76,1B,2B,Stolen Base 2B,,150071,Ronnie Belliard,John Buck,2,5,6,True,2004-09-29,Stolen,2B,2004
24,29,1B,2B,Stolen Base 2B,,237800,Jeff DaVanon,Gerald Laird,0,3,3,True,2004-09-29,Stolen,2B,2004
25,20,1B,2B,Stolen Base 2B,,136860,Carlos Beltrán,Mike Matheny,1,0,3,False,2004-09-29,Stolen,2B,2004
26,62,1B,,Caught Stealing 2B,,121074,Edgar Renteria,Brad Ausmus,4,4,7,True,2004-09-29,Caught,2B,2004
27,21,1B,2B,Stolen Base 2B,,112903,José Cruz Jr.,Jason Varitek,1,2,2,False,2004-09-29,Stolen,2B,2004
28,50,1B,2B,Stolen Base 2B,,425834,B.J. Upton,Jason Varitek,4,3,4,False,2004-09-29,Stolen,2B,2004
29,55,2B,3B,Stolen Base 3B,,150061,Julio Lugo,Jason Varitek,5,3,4,False,2004-09-29,Stolen,3B,2004
30,90,1B,2B,Stolen Base 2B,,408307,Carl Crawford,Jason Varitek,6,4,8,False,2004-09-29,Stolen,2B,2004
31,3,1B,2B,Stolen Base 2B,,325392,Scott Podsednik,Juan Brito,0,1,1,True,2004-09-29,Stolen,2B,2004
32,62,1B,2B,Stolen Base 2B,,325392,Scott Podsednik,Juan Brito,1,4,7,True,2004-09-29,Stolen,2B,2004
33,2,1B,2B,Stolen Base 2B,,276523,Tike Redman,Mike Lieberthal,0,0,1,True,2004-09-29,Stolen,2B,2004
34,21,1B,2B,Stolen Base 2B,,276523,Tike Redman,Mike Lieberthal,0,0,3,True,2004-09-29,Stolen,2B,2004
35,81,1B,2B,Stolen Base 2B,,110029,Bobby Abreu,Humberto Cota,3,3,7,False,2004-09-29,Stolen,2B,2004
36,98,1B,2B,Stolen Base 2B,,112496,Lou Collier,Humberto Cota,7,3,8,False,2004-09-29,Stolen,2B,2004
37,7,2B,3B,Stolen Base 3B,,116539,Derek Jeter,Pat Borders,0,0,1,False,2004-09-29,Stolen,3B,2004
38,32,1B,,Caught Stealing 2B,,124388,Enrique Wilson,Pat Borders,3,2,2,False,2004-09-29,Caught,2B,2004
39,81,1B,2B,Stolen Base 2B,,425567,Alex Rios,Geronimo Gil,6,5,7,True,2004-09-29,Stolen,2B,2004
40,15,1B,,Caught Stealing 2B,,340392,Timo Perez,Brandon Inge,0,2,2,True,2004-09-29,Caught,2B,2004
41,50,1B,2B,Stolen Base 2B,,400136,Jason Smith,Ben Davis,0,5,5,False,2004-09-29,Stolen,2B,2004
42,1,1B,2B,Stolen Base 2B,,408314,José Reyes,Johnny Estrada,0,0,1,True,2004-09-29,Stolen,2B,2004
43,15,1B,2B,Stolen Base 2B,,279577,Rafael Furcal,Jason Phillips,0,2,1,False,2004-09-29,Stolen,2B,2004
44,7,2B,3B,Stolen Base 3B,,116539,Derek Jeter,Pat Borders,0,0,1,False,2004-09-28,Stolen,3B,2004
45,32,1B,,Caught Stealing 2B,,124388,Enrique Wilson,Pat Borders,3,2,2,False,2004-09-28,Caught,2B,2004
46,2,1B,2B,Stolen Base 2B,,276523,Tike Redman,Mike Lieberthal,0,0,1,True,2004-09-28,Stolen,2B,2004
47,21,1B,2B,Stolen Base 2B,,276523,Tike Redman,Mike Lieberthal,0,0,3,True,2004-09-28,Stolen,2B,2004
48,81,1B,2B,Stolen Base 2B,,110029,Bobby Abreu,Humberto Cota,3,3,7,False,2004-09-28,Stolen,2B,2004
49,98,1B,2B,Stolen Base 2B,,112496,Lou Collier,Humberto Cota,7,3,8,False,2004-09-28,Stolen,2B,2004
50,21,1B,,Caught Stealing 2B,,425547,Brad Hawpe,David Ross,0,1,2,True,2004-09-28,Caught,2B,2004
