,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength,Exchange
0,0,1B,2B,Stolen Base 2B,664702,Myles Straw,656638,Alex Lange,657656,Ramón Laureano,R,Carson Kelly,608348,3,0,7,True,2023-09-30,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
1,1,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,687830,Sawyer Gipson-Long,686681,Michael Massey,R,Carson Kelly,608348,0,0,1,True,2023-09-28,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
2,2,1B,2B,Stolen Base 2B,664913,Seth Brown,666214,Joey Wentz,669127,Shea Langeliers,L,Carson Kelly,608348,2,1,4,False,2023-09-23,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
3,3,1B,,Caught Stealing 2B,643393,Tony Kemp,687830,Sawyer Gipson-Long,671732,Lawrence Butler,R,Carson Kelly,608348,1,0,4,False,2023-09-22,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
4,4,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,622259,Trey Wingenter,675656,Kevin Smith,R,Carson Kelly,608348,8,2,7,False,2023-09-22,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
5,5,2B,3B,Stolen Base 3B,665923,Esteury Ruiz,622259,Trey Wingenter,669127,Shea Langeliers,R,Carson Kelly,608348,8,2,7,False,2023-09-22,Stolen,3B,2023,2024,29.8,2024, 81.6, 0.65
6,6,1B,,Caught Stealing 2B,571912,Luke Maile,593958,Eduardo Rodriguez,663697,Jonathan India,L,Carson Kelly,608348,2,4,4,True,2023-09-13,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
7,7,3B,score,Caught Stealing 2B,682622,Noelvi Marte,593958,Eduardo Rodriguez,663697,Jonathan India,L,Carson Kelly,608348,2,4,4,True,2023-09-13,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
8,8,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,622766,Miguel Díaz,670770,TJ Friedl,R,Carson Kelly,608348,3,4,6,True,2023-09-13,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
9,9,1B,,Caught Stealing 2B,672724,Oswald Peraza,656638,Alex Lange,665828,Oswaldo Cabrera,R,Carson Kelly,608348,4,3,8,False,2023-09-06,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
10,10,1B,,Caught Stealing 2B,641343,Jake Bauers,666159,Matt Manning,665828,Oswaldo Cabrera,R,Carson Kelly,608348,0,0,2,True,2023-08-31,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
11,11,1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,669194,Ryne Nelson,665742,Juan Soto,R,Carson Kelly,608348,1,3,3,True,2023-08-11,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
12,12,1B,2B,Stolen Base 2B,663757,Trent Grisham,666818,Luis Frías,673490,Ha-Seong Kim,R,Carson Kelly,608348,1,7,6,True,2023-08-11,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
13,13,1B,2B,Stolen Base 2B,593428,Xander Bogaerts,543518,Scott McGough,630105,Jake Cronenworth,R,Carson Kelly,608348,5,10,9,True,2023-08-11,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
14,14,1B,2B,Stolen Base 2B,681546,James Outman,612434,Miguel Castro,642708,Amed Rosario,R,Carson Kelly,608348,2,4,9,True,2023-08-08,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
15,15,1B,2B,Stolen Base 2B,666397,Edouard Julien,668678,Zac Gallen,621043,Carlos Correa,R,Carson Kelly,608348,2,1,6,False,2023-08-06,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
16,16,1B,2B,Stolen Base 2B,676609,José Caballero,669459,Kyle Nelson,641487,J.P. Crawford,L,Carson Kelly,608348,3,3,7,True,2023-07-29,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
17,17,3B,score,Stolen Base Home,680977,Brendan Donovan,518876,Merrill Kelly,571448,Nolan Arenado,R,Carson Kelly,608348,0,1,3,True,2023-07-25,Stolen,Home,2023,2024,29.8,2024, 81.6, 0.65
18,18,1B,2B,Stolen Base 2B,502671,Paul Goldschmidt,518876,Merrill Kelly,571448,Nolan Arenado,R,Carson Kelly,608348,0,1,3,True,2023-07-25,Stolen,2B,2023,2024,29.8,2024, 81.6, 0.65
19,19,1B,,Caught Stealing 2B,670770,TJ Friedl,614179,José Ruiz,680574,Matt McLain,R,Carson Kelly,608348,1,0,1,False,2023-07-23,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
20,20,1B,,Caught Stealing 2B,680574,Matt McLain,656457,Tyler Gilbert,668715,Spencer Steer,L,Carson Kelly,608348,3,3,6,False,2023-07-23,Caught,2B,2023,2024,29.8,2024, 81.6, 0.65
21,21,2B,,Caught Stealing 3B,671739,Michael Harris II,668678,Zac Gallen,660670,Ronald Acuña Jr.,R,Carson Kelly,608348,1,0,6,False,2023-07-20,Caught,3B,2023,2024,29.8,2024, 81.6, 0.65
