,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength,Exchange
0,0,1B,2B,Stolen Base 2B,686668,Brenton Doyle,650633,Michael King,595777,Jurickson Profar,R,Jose Trevino,624431,4,2,7,False,2023-07-14,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
1,1,1B,2B,Stolen Base 2B,656811,Ryan O'Hearn,681190,Randy Vásquez,656775,Cedric Mullins,R,Jose Trevino,624431,0,0,1,True,2023-07-05,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
2,2,2B,,Caught Stealing 3B,680977,Brendan Donovan,543037,Gerrit Cole,502671,Paul Goldschmidt,R,Jose Trevino,624431,0,0,1,False,2023-07-02,Caught,3B,2023,2024,29.8,2024, 76.5, 0.65
3,3,1B,2B,Caught Stealing 3B,663457,Lars Nootbaar,543037,Gerrit Cole,502671,Paul Goldschmidt,R,Jose Trevino,624431,0,0,1,False,2023-07-02,Caught,3B,2023,2024,29.8,2024, 76.5, 0.65
4,4,2B,3B,Stolen Base 3B,666185,Dylan Carlson,622772,Jimmy Cordero,668800,Andrew Knizner,R,Jose Trevino,624431,5,1,8,False,2023-07-02,Stolen,3B,2023,2024,29.8,2024, 76.5, 0.65
5,5,1B,2B,Stolen Base 2B,643393,Tony Kemp,657376,Clarke Schmidt,676116,Ryan Noda,R,Jose Trevino,624431,0,0,1,False,2023-06-29,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
6,6,1B,2B,Stolen Base 2B,668843,Conner Capel,657376,Clarke Schmidt,665923,Esteury Ruiz,R,Jose Trevino,624431,1,1,2,False,2023-06-29,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
7,7,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,666745,Jhony Brito,643393,Tony Kemp,R,Jose Trevino,624431,1,0,3,False,2023-06-27,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
8,8,2B,,Caught Stealing 3B,665923,Esteury Ruiz,666745,Jhony Brito,668709,JJ Bleday,R,Jose Trevino,624431,1,0,3,False,2023-06-27,Caught,3B,2023,2024,29.8,2024, 76.5, 0.65
9,9,2B,3B,Stolen Base 3B,665750,Leody Taveras,543037,Gerrit Cole,543760,Marcus Semien,R,Jose Trevino,624431,0,3,2,True,2023-06-25,Stolen,3B,2023,2024,29.8,2024, 76.5, 0.65
10,10,1B,2B,Stolen Base 2B,680776,Jarren Duran,622663,Luis Severino,657077,Alex Verdugo,R,Jose Trevino,624431,2,1,5,False,2023-06-18,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
11,11,1B,,Caught Stealing 2B,624512,Reese McGuire,676760,Ron Marinaccio,622569,Pablo Reyes,R,Jose Trevino,624431,4,1,6,False,2023-06-18,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
12,12,1B,,Caught Stealing 2B,500743,Miguel Rojas,543037,Gerrit Cole,605141,Mookie Betts,R,Jose Trevino,624431,1,4,5,False,2023-06-03,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
13,13,1B,2B,Stolen Base 2B,605141,Mookie Betts,622663,Luis Severino,669257,Will Smith,R,Jose Trevino,624431,7,2,4,False,2023-06-02,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
14,14,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,657376,Clarke Schmidt,553993,Eugenio Suárez,R,Jose Trevino,624431,0,0,4,False,2023-05-31,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
15,15,1B,,Caught Stealing 2B,666139,Josh Lowe,657376,Clarke Schmidt,670764,Taylor Walls,R,Jose Trevino,624431,4,3,4,True,2023-05-14,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
16,16,1B,2B,Stolen Base 2B,670764,Taylor Walls,656061,Albert Abreu,670042,Luke Raley,R,Jose Trevino,624431,4,8,7,True,2023-05-14,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
17,17,1B,2B,Stolen Base 2B,677551,Wander Franco,593334,Domingo Germán,668227,Randy Arozarena,R,Jose Trevino,624431,0,0,1,True,2023-05-11,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
18,18,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,676760,Ron Marinaccio,542208,Carlos Pérez,R,Jose Trevino,624431,5,2,7,True,2023-05-08,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
19,19,2B,3B,Stolen Base 3B,677551,Wander Franco,543037,Gerrit Cole,668227,Randy Arozarena,R,Jose Trevino,624431,2,6,5,False,2023-05-07,Stolen,3B,2023,2024,29.8,2024, 76.5, 0.65
20,20,1B,2B,Stolen Base 2B,680757,Steven Kwan,543037,Gerrit Cole,608070,José Ramírez,R,Jose Trevino,624431,0,0,1,True,2023-05-02,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
21,21,1B,2B,Stolen Base 2B,608671,Travis Jankowski,666745,Jhony Brito,663993,Nathaniel Lowe,R,Jose Trevino,624431,0,0,1,False,2023-04-29,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
22,22,1B,,Caught Stealing 2B,669352,Bubba Thompson,641656,Ian Hamilton,608671,Travis Jankowski,R,Jose Trevino,624431,2,0,7,False,2023-04-29,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
23,23,1B,2B,Stolen Base 2B,572191,Michael A. Taylor,669711,Greg Weissert,596146,Max Kepler,R,Jose Trevino,624431,4,0,4,False,2023-04-24,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
24,24,1B,,Caught Stealing 2B,596146,Max Kepler,669711,Greg Weissert,621043,Carlos Correa,R,Jose Trevino,624431,4,0,4,False,2023-04-24,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
25,25,1B,,Caught Stealing 2B,543807,George Springer,543037,Gerrit Cole,666182,Bo Bichette,R,Jose Trevino,624431,0,0,5,True,2023-04-22,Caught,2B,2023,2024,29.8,2024, 76.5, 0.65
26,26,1B,2B,Stolen Base 2B,662139,Daulton Varsho,676760,Ron Marinaccio,672386,Alejandro Kirk,R,Jose Trevino,624431,0,0,6,True,2023-04-22,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
27,27,1B,2B,Stolen Base 2B,665926,Andrés Giménez,593334,Domingo Germán,605137,Josh Bell,R,Jose Trevino,624431,0,2,2,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
28,28,1B,2B,Stolen Base 2B,642708,Amed Rosario,593334,Domingo Germán,647304,Josh Naylor,R,Jose Trevino,624431,1,2,3,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
29,29,1B,2B,Stolen Base 2B,680757,Steven Kwan,641656,Ian Hamilton,642708,Amed Rosario,R,Jose Trevino,624431,2,2,7,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
30,30,1B,2B,Stolen Base 2B,608070,José Ramírez,641656,Ian Hamilton,665926,Andrés Giménez,R,Jose Trevino,624431,3,2,7,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
31,31,1B,2B,Stolen Base 2B,624428,Adam Frazier,676760,Ron Marinaccio,679631,Terrin Vavra,R,Jose Trevino,624431,2,4,7,False,2023-04-09,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
32,32,1B,2B,Stolen Base 2B,622761,Jorge Mateo,676760,Ron Marinaccio,656775,Cedric Mullins,R,Jose Trevino,624431,4,5,6,False,2023-04-07,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
33,33,1B,2B,Stolen Base 2B,663624,Ryan Mountcastle,676760,Ron Marinaccio,683002,Gunnar Henderson,R,Jose Trevino,624431,5,5,7,False,2023-04-07,Stolen,2B,2023,2024,29.8,2024, 76.5, 0.65
