,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,2B,Stolen Base 2B,676059,Jordan Westburg,669923,George Kirby,683002,Gunnar Henderson,R,Tom Murphy,608596,0,0,9,True,2023-08-12,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
1,1,1,1,2B,3B,Stolen Base 3B,656775,Cedric Mullins,662253,Andrés Muñoz,623993,Anthony Santander,R,Tom Murphy,608596,0,0,10,True,2023-08-12,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
2,2,2,2,1B,2B,Stolen Base 2B,656811,Ryan O'Hearn,662253,Andrés Muñoz,624428,Adam Frazier,R,Tom Murphy,608596,0,1,10,True,2023-08-12,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
3,3,3,3,1B,2B,Stolen Base 2B,666160,Mickey Moniak,669923,George Kirby,545341,Randal Grichuk,R,Tom Murphy,608596,1,2,5,False,2023-08-05,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
4,4,4,4,1B,2B,Stolen Base 2B,644374,Yu Chang,669302,Logan Gilbert,657077,Alex Verdugo,R,Tom Murphy,608596,0,2,5,True,2023-08-02,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
5,5,5,5,1B,2B,Stolen Base 2B,680776,Jarren Duran,669923,George Kirby,457759,Justin Turner,R,Tom Murphy,608596,0,1,1,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
6,6,6,6,1B,2B,Stolen Base 2B,680776,Jarren Duran,669923,George Kirby,807799,Masataka Yoshida,R,Tom Murphy,608596,1,1,5,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
7,7,7,7,1B,2B,Stolen Base 2B,672695,Geraldo Perdomo,623437,Justin Topa,606466,Ketel Marte,R,Tom Murphy,608596,3,3,7,False,2023-07-29,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
8,8,8,8,2B,3B,Stolen Base 3B,682998,Corbin Carroll,662253,Andrés Muñoz,572233,Christian Walker,R,Tom Murphy,608596,3,3,8,False,2023-07-29,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
9,9,9,9,1B,2B,Stolen Base 2B,662139,Daulton Varsho,642100,Gabe Speier,643376,Danny Jansen,L,Tom Murphy,608596,0,1,7,True,2023-07-21,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
