,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength,Exchange
0,0,1B,2B,Stolen Base 2B,682928,CJ Abrams,543294,Kyle Hendricks,600869,Jeimer Candelario,R,Tucker Barnhart,571466,1,1,3,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
1,1,1B,2B,Stolen Base 2B,671277,Luis García Jr.,657240,Julian Merryweather,669743,Alex Call,R,Tucker Barnhart,571466,3,3,8,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
2,2,1B,2B,Stolen Base 2B,657077,Alex Verdugo,543294,Kyle Hendricks,594807,Adam Duvall,R,Tucker Barnhart,571466,0,4,3,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
3,3,1B,2B,Stolen Base 2B,664056,Harrison Bader,543294,Kyle Hendricks,518626,Josh Donaldson,R,Tucker Barnhart,571466,1,0,3,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
4,4,1B,2B,Stolen Base 2B,650402,Gleyber Torres,543294,Kyle Hendricks,519317,Giancarlo Stanton,R,Tucker Barnhart,571466,1,1,5,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
5,5,2B,3B,Stolen Base 3B,655316,Andruw Monasterio,592767,Drew Smyly,605170,Victor Caratini,L,Tucker Barnhart,571466,3,6,4,False,2023-07-03,Stolen,3B,2023,2024,29.8,2024, 76.7, 0.60
6,6,1B,2B,Stolen Base 2B,686894,Joey Wiemer,592767,Drew Smyly,605170,Victor Caratini,L,Tucker Barnhart,571466,3,6,4,False,2023-07-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
7,7,1B,2B,Stolen Base 2B,592885,Christian Yelich,643410,Mark Leiter Jr.,642715,Willy Adames,R,Tucker Barnhart,571466,7,6,8,False,2023-07-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
8,8,1B,2B,Stolen Base 2B,665926,Andrés Giménez,573186,Marcus Stroman,686823,Will Brennan,R,Tucker Barnhart,571466,0,2,4,True,2023-07-01,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
9,9,1B,,Caught Stealing 2B,678225,Ji Hwan Bae,592791,Jameson Taillon,595978,Austin Hedges,R,Tucker Barnhart,571466,3,2,4,True,2023-06-13,Caught,2B,2023,2024,29.8,2024, 76.7, 0.60
10,10,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,592767,Drew Smyly,641525,Brandon Dixon,L,Tucker Barnhart,571466,3,0,6,False,2023-06-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
11,11,1B,2B,Stolen Base 2B,677551,Wander Franco,573186,Marcus Stroman,664040,Brandon Lowe,R,Tucker Barnhart,571466,1,0,7,True,2023-05-29,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
12,12,1B,2B,Stolen Base 2B,516782,Starling Marte,573186,Marcus Stroman,596129,Daniel Vogelbach,R,Tucker Barnhart,571466,4,2,8,True,2023-05-24,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
13,13,1B,2B,Stolen Base 2B,669016,Brandon Marsh,669093,Jeremiah Estrada,664761,Alec Bohm,R,Tucker Barnhart,571466,2,0,8,False,2023-05-21,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
14,14,1B,,Caught Stealing 2B,680777,Ryan Jeffers,669713,Hayden Wesneski,608336,Joey Gallo,R,Tucker Barnhart,571466,5,0,4,False,2023-05-13,Caught,2B,2023,2024,29.8,2024, 76.7, 0.60
15,15,1B,2B,Stolen Base 2B,645302,Victor Robles,573186,Marcus Stroman,669743,Alex Call,R,Tucker Barnhart,571466,1,1,3,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
16,16,1B,2B,Stolen Base 2B,657041,Lane Thomas,573186,Marcus Stroman,682928,CJ Abrams,R,Tucker Barnhart,571466,1,1,5,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
17,17,1B,2B,Stolen Base 2B,645302,Victor Robles,573186,Marcus Stroman,669743,Alex Call,R,Tucker Barnhart,571466,1,1,5,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
18,18,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,669713,Hayden Wesneski,630105,Jake Cronenworth,R,Tucker Barnhart,571466,3,1,3,True,2023-04-27,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
19,19,1B,2B,Stolen Base 2B,605141,Mookie Betts,676714,Brandon Hughes,571970,Max Muncy,L,Tucker Barnhart,571466,2,3,5,True,2023-04-22,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
20,20,1B,2B,Stolen Base 2B,621035,Chris Taylor,640470,Adbert Alzolay,605131,Austin Barnes,R,Tucker Barnhart,571466,4,6,8,True,2023-04-22,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
21,21,1B,2B,Stolen Base 2B,663897,Luke Williams,665871,Javier Assad,605131,Austin Barnes,R,Tucker Barnhart,571466,0,1,2,True,2023-04-20,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
22,22,1B,2B,Stolen Base 2B,518692,Freddie Freeman,502202,Brad Boxberger,571970,Max Muncy,R,Tucker Barnhart,571466,2,2,8,True,2023-04-20,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
23,23,1B,2B,Stolen Base 2B,571970,Max Muncy,502202,Brad Boxberger,572204,Trayce Thompson,R,Tucker Barnhart,571466,2,2,8,True,2023-04-20,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
24,24,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,657006,Justin Steele,649557,Aledmys Díaz,L,Tucker Barnhart,571466,0,0,1,False,2023-04-19,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
25,25,2B,,Caught Stealing 3B,668843,Conner Capel,657006,Justin Steele,665923,Esteury Ruiz,L,Tucker Barnhart,571466,0,0,3,False,2023-04-19,Caught,3B,2023,2024,29.8,2024, 76.7, 0.60
26,26,1B,,Caught Stealing 2B,677594,Julio Rodríguez,605242,Michael Fulmer,663728,Cal Raleigh,R,Tucker Barnhart,571466,1,5,9,True,2023-04-12,Caught,2B,2023,2024,29.8,2024, 76.7, 0.60
27,27,1B,2B,Stolen Base 2B,608671,Travis Jankowski,592791,Jameson Taillon,669352,Bubba Thompson,R,Tucker Barnhart,571466,2,5,4,True,2023-04-09,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
28,28,1B,2B,Stolen Base 2B,668930,Brice Turang,665871,Javier Assad,670712,Mike Brosseau,R,Tucker Barnhart,571466,1,1,8,True,2023-04-01,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
29,29,1B,2B,Stolen Base 2B,682928,CJ Abrams,543294,Kyle Hendricks,600869,Jeimer Candelario,R,Tucker Barnhart,571466,1,1,3,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
30,30,1B,2B,Stolen Base 2B,671277,Luis García Jr.,657240,Julian Merryweather,669743,Alex Call,R,Tucker Barnhart,571466,3,3,8,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
31,31,1B,2B,Stolen Base 2B,657077,Alex Verdugo,543294,Kyle Hendricks,594807,Adam Duvall,R,Tucker Barnhart,571466,0,4,3,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
32,32,1B,2B,Stolen Base 2B,664056,Harrison Bader,543294,Kyle Hendricks,518626,Josh Donaldson,R,Tucker Barnhart,571466,1,0,3,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
33,33,1B,2B,Stolen Base 2B,650402,Gleyber Torres,543294,Kyle Hendricks,519317,Giancarlo Stanton,R,Tucker Barnhart,571466,1,1,5,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
34,34,2B,3B,Stolen Base 3B,655316,Andruw Monasterio,592767,Drew Smyly,605170,Victor Caratini,L,Tucker Barnhart,571466,3,6,4,False,2023-07-03,Stolen,3B,2023,2024,29.8,2024, 76.7, 0.60
35,35,1B,2B,Stolen Base 2B,686894,Joey Wiemer,592767,Drew Smyly,605170,Victor Caratini,L,Tucker Barnhart,571466,3,6,4,False,2023-07-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
36,36,1B,2B,Stolen Base 2B,592885,Christian Yelich,643410,Mark Leiter Jr.,642715,Willy Adames,R,Tucker Barnhart,571466,7,6,8,False,2023-07-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
37,37,1B,2B,Stolen Base 2B,665926,Andrés Giménez,573186,Marcus Stroman,686823,Will Brennan,R,Tucker Barnhart,571466,0,2,4,True,2023-07-01,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
38,38,1B,,Caught Stealing 2B,678225,Ji Hwan Bae,592791,Jameson Taillon,595978,Austin Hedges,R,Tucker Barnhart,571466,3,2,4,True,2023-06-13,Caught,2B,2023,2024,29.8,2024, 76.7, 0.60
39,39,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,592767,Drew Smyly,641525,Brandon Dixon,L,Tucker Barnhart,571466,3,0,6,False,2023-06-03,Stolen,2B,2023,2024,29.8,2024, 76.7, 0.60
