,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength,Exchange
0,0,1B,,Caught Stealing 2B,669003,Garrett Mitchell,640470,Adbert Alzolay,605170,Victor Caratini,R,Yan Gomes,543228,3,2,8,False,2023-09-29,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
1,1,1B,,Caught Stealing 2B,660670,Ronald Acuña Jr.,665871,Javier Assad,645277,Ozzie Albies,R,Yan Gomes,543228,5,1,4,False,2023-09-28,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
2,2,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,657240,Julian Merryweather,645277,Ozzie Albies,R,Yan Gomes,543228,3,3,8,False,2023-09-27,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
3,3,1B,,Caught Stealing 2B,645277,Ozzie Albies,657240,Julian Merryweather,663586,Austin Riley,R,Yan Gomes,543228,3,3,8,False,2023-09-27,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
4,4,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,694037,Daniel Palencia,645277,Ozzie Albies,R,Yan Gomes,543228,6,5,10,False,2023-09-27,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
5,5,1B,2B,Stolen Base 2B,657088,Forrest Wall,592767,Drew Smyly,671739,Michael Harris II,L,Yan Gomes,543228,5,6,8,False,2023-09-26,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
6,6,1B,,Caught Stealing 2B,686668,Brenton Doyle,621016,Jose Cuas,663898,Brendan Rodgers,R,Yan Gomes,543228,4,3,8,True,2023-09-24,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
7,7,1B,2B,Stolen Base 2B,686668,Brenton Doyle,665871,Javier Assad,453568,Charlie Blackmon,R,Yan Gomes,543228,1,3,4,True,2023-09-23,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
8,8,2B,3B,Stolen Base 3B,669261,Jack Suwinski,543294,Kyle Hendricks,669707,Jared Triolo,R,Yan Gomes,543228,0,3,5,True,2023-09-21,Stolen,3B,2023,2024,29.8,2024, 75.2, 0.55
9,9,1B,2B,Stolen Base 2B,609280,Miguel Andujar,543294,Kyle Hendricks,669707,Jared Triolo,R,Yan Gomes,543228,0,3,5,True,2023-09-21,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
10,10,1B,2B,Stolen Base 2B,672515,Gabriel Moreno,543294,Kyle Hendricks,606466,Ketel Marte,R,Yan Gomes,543228,2,3,5,False,2023-09-16,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
11,11,1B,,Caught Stealing 2B,672515,Gabriel Moreno,657240,Julian Merryweather,682998,Corbin Carroll,R,Yan Gomes,543228,3,3,9,False,2023-09-16,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
12,12,2B,3B,Stolen Base 3B,502054,Tommy Pham,543294,Kyle Hendricks,666971,Lourdes Gurriel Jr.,R,Yan Gomes,543228,5,2,6,True,2023-09-10,Stolen,3B,2023,2024,29.8,2024, 75.2, 0.55
13,13,1B,,Caught Stealing 2B,672695,Geraldo Perdomo,643410,Mark Leiter Jr.,682998,Corbin Carroll,R,Yan Gomes,543228,5,2,7,True,2023-09-10,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
14,14,1B,2B,Stolen Base 2B,691783,Jordan Lawlar,657006,Justin Steele,572233,Christian Walker,L,Yan Gomes,543228,0,0,1,True,2023-09-09,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
15,15,1B,2B,Stolen Base 2B,682998,Corbin Carroll,657006,Justin Steele,656896,Emmanuel Rivera,L,Yan Gomes,543228,1,0,5,True,2023-09-09,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
16,16,1B,2B,Stolen Base 2B,682998,Corbin Carroll,640470,Adbert Alzolay,607054,Jace Peterson,R,Yan Gomes,543228,1,1,9,True,2023-09-09,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
17,17,2B,,Caught Stealing 3B,502054,Tommy Pham,694037,Daniel Palencia,666971,Lourdes Gurriel Jr.,R,Yan Gomes,543228,1,3,10,True,2023-09-09,Caught,3B,2023,2024,29.8,2024, 75.2, 0.55
18,18,1B,2B,Stolen Base 2B,682998,Corbin Carroll,592791,Jameson Taillon,606466,Ketel Marte,R,Yan Gomes,543228,0,0,1,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
19,19,1B,2B,Stolen Base 2B,682998,Corbin Carroll,592791,Jameson Taillon,606466,Ketel Marte,R,Yan Gomes,543228,0,0,6,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
20,20,1B,2B,Stolen Base 2B,682998,Corbin Carroll,643410,Mark Leiter Jr.,606466,Ketel Marte,R,Yan Gomes,543228,0,1,8,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
21,21,1B,2B,Stolen Base 2B,677950,Alek Thomas,640470,Adbert Alzolay,666971,Lourdes Gurriel Jr.,R,Yan Gomes,543228,0,1,9,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
22,22,1B,2B,Stolen Base 2B,672515,Gabriel Moreno,665871,Javier Assad,656976,Pavin Smith,R,Yan Gomes,543228,0,1,2,True,2023-09-07,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
23,23,1B,2B,Stolen Base 2B,677950,Alek Thomas,624522,Keegan Thompson,672515,Gabriel Moreno,R,Yan Gomes,543228,1,5,8,True,2023-09-07,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
24,24,1B,2B,Stolen Base 2B,682998,Corbin Carroll,669713,Hayden Wesneski,606466,Ketel Marte,R,Yan Gomes,543228,1,6,9,True,2023-09-07,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
25,25,1B,,Caught Stealing 2B,664056,Harrison Bader,592791,Jameson Taillon,605361,Nick Martini,R,Yan Gomes,543228,4,3,5,False,2023-09-03,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
26,26,1B,,Caught Stealing 2B,670770,TJ Friedl,665871,Javier Assad,682829,Elly De La Cruz,R,Yan Gomes,543228,0,0,6,False,2023-09-02,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
27,27,2B,3B,Stolen Base 3B,664056,Harrison Bader,643410,Mark Leiter Jr.,670770,TJ Friedl,R,Yan Gomes,543228,0,1,9,False,2023-09-02,Stolen,3B,2023,2024,29.8,2024, 75.2, 0.55
28,28,1B,2B,Stolen Base 2B,656413,Stuart Fairchild,640470,Adbert Alzolay,666181,Will Benson,R,Yan Gomes,543228,2,2,9,False,2023-09-01,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
29,29,1B,2B,Stolen Base 2B,661388,William Contreras,543294,Kyle Hendricks,467793,Carlos Santana,R,Yan Gomes,543228,2,1,5,True,2023-08-30,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
30,30,1B,2B,Stolen Base 2B,686217,Sal Frelick,643410,Mark Leiter Jr.,642715,Willy Adames,R,Yan Gomes,543228,2,1,8,True,2023-08-30,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
31,31,1B,,Caught Stealing 2B,592885,Christian Yelich,657240,Julian Merryweather,592192,Mark Canha,R,Yan Gomes,543228,1,0,8,True,2023-08-29,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
32,32,1B,2B,Stolen Base 2B,669261,Jack Suwinski,665871,Javier Assad,663845,Alfonso Rivas III,R,Yan Gomes,543228,1,1,2,False,2023-08-27,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
33,33,1B,2B,Stolen Base 2B,641943,Joshua Palacios,665871,Javier Assad,669261,Jack Suwinski,R,Yan Gomes,543228,1,3,4,False,2023-08-27,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
34,34,1B,,Caught Stealing 2B,663647,Ke'Bryan Hayes,543294,Kyle Hendricks,668804,Bryan Reynolds,R,Yan Gomes,543228,2,0,2,False,2023-08-25,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
35,35,1B,2B,Stolen Base 2B,678225,Ji Hwan Bae,657006,Justin Steele,663647,Ke'Bryan Hayes,L,Yan Gomes,543228,1,3,2,False,2023-08-24,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
36,36,1B,2B,Stolen Base 2B,656716,Zach McKinstry,640470,Adbert Alzolay,628451,Andy Ibáñez,R,Yan Gomes,543228,4,6,9,False,2023-08-23,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
37,37,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,657006,Justin Steele,686681,Michael Massey,L,Yan Gomes,543228,6,1,6,True,2023-08-19,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
38,38,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,657240,Julian Merryweather,686681,Michael Massey,R,Yan Gomes,543228,6,3,7,True,2023-08-19,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
39,39,2B,,Caught Stealing 3B,669004,MJ Melendez,592791,Jameson Taillon,666023,Freddy Fermin,R,Yan Gomes,543228,0,0,2,True,2023-08-18,Caught,3B,2023,2024,29.8,2024, 75.2, 0.55
40,40,1B,2B,Stolen Base 2B,671221,Drew Waters,592791,Jameson Taillon,676369,Nelson Velázquez,R,Yan Gomes,543228,0,0,3,True,2023-08-18,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
41,41,1B,2B,Stolen Base 2B,621545,Zach Remillard,543294,Kyle Hendricks,462101,Elvis Andrus,R,Yan Gomes,543228,2,3,2,True,2023-08-15,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
42,42,1B,2B,Stolen Base 2B,462101,Elvis Andrus,640470,Adbert Alzolay,643217,Andrew Benintendi,R,Yan Gomes,543228,3,5,9,True,2023-08-15,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
43,43,1B,,Caught Stealing 2B,665489,Vladimir Guerrero Jr.,621016,Jose Cuas,656305,Matt Chapman,R,Yan Gomes,543228,4,4,7,False,2023-08-12,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
44,44,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,665871,Javier Assad,645277,Ozzie Albies,R,Yan Gomes,543228,0,0,1,True,2023-08-05,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
45,45,1B,2B,Stolen Base 2B,645277,Ozzie Albies,605242,Michael Fulmer,663586,Austin Riley,R,Yan Gomes,543228,6,2,5,True,2023-08-05,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
46,46,1B,2B,Stolen Base 2B,641584,Jake Fraley,592791,Jameson Taillon,668715,Spencer Steer,R,Yan Gomes,543228,0,1,1,True,2023-08-03,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
47,47,1B,2B,Stolen Base 2B,680574,Matt McLain,592791,Jameson Taillon,668715,Spencer Steer,R,Yan Gomes,543228,1,1,3,True,2023-08-03,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
48,48,1B,2B,Stolen Base 2B,641584,Jake Fraley,573186,Marcus Stroman,668715,Spencer Steer,R,Yan Gomes,543228,1,4,3,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
49,49,1B,2B,Stolen Base 2B,670770,TJ Friedl,665871,Javier Assad,680574,Matt McLain,R,Yan Gomes,543228,4,6,4,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
50,50,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,573186,Marcus Stroman,641313,Tim Anderson,R,Yan Gomes,543228,3,2,2,False,2023-07-26,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
51,51,1B,2B,Stolen Base 2B,693049,Oscar Colás,573186,Marcus Stroman,643217,Andrew Benintendi,R,Yan Gomes,543228,4,2,4,False,2023-07-26,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
52,52,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,573186,Marcus Stroman,502671,Paul Goldschmidt,R,Yan Gomes,543228,0,3,4,True,2023-07-20,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
53,53,1B,2B,Stolen Base 2B,682928,CJ Abrams,592767,Drew Smyly,657041,Lane Thomas,L,Yan Gomes,543228,0,0,1,True,2023-07-17,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
54,54,1B,2B,Stolen Base 2B,669743,Alex Call,592767,Drew Smyly,682928,CJ Abrams,L,Yan Gomes,543228,1,5,6,True,2023-07-17,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
55,55,1B,2B,Stolen Base 2B,680911,Owen Miller,573186,Marcus Stroman,605119,Brian Anderson,R,Yan Gomes,543228,0,1,2,False,2023-07-06,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
56,56,1B,2B,Stolen Base 2B,606132,Raimel Tapia,573186,Marcus Stroman,605119,Brian Anderson,R,Yan Gomes,543228,0,1,5,False,2023-07-06,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
57,57,1B,2B,Stolen Base 2B,592885,Christian Yelich,643410,Mark Leiter Jr.,642715,Willy Adames,R,Yan Gomes,543228,5,3,7,False,2023-07-06,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
58,58,1B,2B,Stolen Base 2B,663330,Jahmai Jones,657006,Justin Steele,663368,Blake Perkins,L,Yan Gomes,543228,2,1,6,False,2023-07-05,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
59,59,1B,2B,Stolen Base 2B,665926,Andrés Giménez,592791,Jameson Taillon,608070,José Ramírez,R,Yan Gomes,543228,0,0,1,True,2023-07-02,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
60,60,1B,2B,Stolen Base 2B,681807,David Fry,592791,Jameson Taillon,664702,Myles Straw,R,Yan Gomes,543228,0,3,4,True,2023-07-02,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
61,61,1B,,Caught Stealing 2B,672356,Gabriel Arias,640470,Adbert Alzolay,605137,Josh Bell,R,Yan Gomes,543228,6,8,10,True,2023-07-02,Caught,2B,2023,2024,29.8,2024, 75.2, 0.55
62,62,1B,2B,Stolen Base 2B,669242,Tommy Edman,573186,Marcus Stroman,680977,Brendan Donovan,R,Yan Gomes,543228,4,4,4,False,2023-06-25,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
